pub_year,Genus,Count
2001,Longidorus,6
2001,Meloidogyne,20
2001,Pratylenchus,6
2001,Rotylenchus,1
2001,Tylenchorhynchus,4
2001,Xiphinema,9
2002,Bursaphelenchus,10
2002,Globodera,2
2002,Heterodera,16
2002,Meloidogyne,11
2002,Pratylenchus,1
2002,Rotylenchus,1
2003,Bursaphelenchus,1
2003,Heterodera,9
2003,Longidorus,5
2003,Meloidogyne,1
2003,Xiphinema,1
2004,Globodera,7
2004,Heterodera,3
2004,Longidorus,6
2004,Meloidogyne,4
2004,Pratylenchus,1
2004,Tylenchorhynchus,1
2004,Xiphinema,12
2005,Globodera,1
2005,Longidorus,7
2005,Meloidogyne,8
2005,Xiphinema,3
2006,Aphelenchoides,1
2006,Bursaphelenchus,4
2006,Heterodera,1
2006,Meloidogyne,18
2006,Pratylenchus,11
2006,Rotylenchus,1
2006,Tylenchorhynchus,1
2006,Xiphinema,8
2007,Aphelenchoides,2
2007,Bursaphelenchus,4
2007,Heterodera,1
2007,Longidorus,5
2007,Meloidogyne,2
2007,Pratylenchus,7
2007,Tylenchorhynchus,1
2007,Xiphinema,4
2008,Bursaphelenchus,4
2008,Globodera,2
2008,Heterodera,6
2008,Longidorus,2
2008,Meloidogyne,19
2008,Pratylenchus,12
2008,Rotylenchus,23
2008,Xiphinema,5
2009,Bursaphelenchus,1
2009,Heterodera,2
2009,Longidorus,2
2009,Meloidogyne,12
2009,Pratylenchus,10
2009,Xiphinema,13
2010,Aphelenchoides,6
2010,Heterodera,14
2010,Meloidogyne,32
2010,Pratylenchus,33
2010,Rotylenchus,1
2010,Tylenchorhynchus,2
2010,Xiphinema,22
2011,Bursaphelenchus,8
2011,Globodera,15
2011,Heterodera,12
2011,Longidorus,12
2011,Meloidogyne,57
2011,Pratylenchus,26
2011,Rotylenchus,12
2011,Tylenchorhynchus,4
2011,Xiphinema,2
2012,Aphelenchoides,3
2012,Bursaphelenchus,2
2012,Globodera,11
2012,Heterodera,10
2012,Longidorus,10
2012,Meloidogyne,21
2012,Pratylenchus,15
2012,Rotylenchus,15
2012,Tylenchorhynchus,2
2012,Xiphinema,17
2013,Aphelenchoides,9
2013,Bursaphelenchus,25
2013,Globodera,5
2013,Heterodera,13
2013,Longidorus,9
2013,Meloidogyne,28
2013,Pratylenchus,3
2013,Rotylenchus,5
2013,Tylenchorhynchus,1
2013,Xiphinema,25
2014,Aphelenchoides,4
2014,Bursaphelenchus,8
2014,Heterodera,5
2014,Longidorus,5
2014,Meloidogyne,25
2014,Pratylenchus,14
2014,Rotylenchus,4
2014,Tylenchorhynchus,2
2014,Xiphinema,14
2015,Bursaphelenchus,5
2015,Heterodera,4
2015,Longidorus,5
2015,Meloidogyne,29
2015,Pratylenchus,5
2015,Rotylenchus,13
2015,Xiphinema,9
2016,Aphelenchoides,9
2016,Bursaphelenchus,2
2016,Globodera,5
2016,Heterodera,1
2016,Longidorus,4
2016,Meloidogyne,16
2016,Pratylenchus,4
2016,Rotylenchus,3
2016,Tylenchorhynchus,1
2016,Xiphinema,36
2017,Aphelenchoides,16
2017,Globodera,7
2017,Heterodera,7
2017,Longidorus,11
2017,Meloidogyne,14
2017,Pratylenchus,9
2017,Tylenchorhynchus,1
2017,Xiphinema,12
2018,Aphelenchoides,9
2018,Bursaphelenchus,8
2018,Heterodera,2
2018,Longidorus,11
2018,Meloidogyne,19
2018,Pratylenchus,4
2018,Rotylenchus,2
2018,Xiphinema,15
2019,Aphelenchoides,9
2019,Bursaphelenchus,7
2019,Heterodera,1
2019,Meloidogyne,12
2019,Pratylenchus,9
2019,Rotylenchus,11
2019,Tylenchorhynchus,3
2019,Xiphinema,15
2020,Aphelenchoides,2
2020,Bursaphelenchus,16
2020,Globodera,16
2020,Heterodera,33
2020,Longidorus,11
2020,Meloidogyne,114
2020,Pratylenchus,27
2020,Rotylenchus,3
2020,Tylenchorhynchus,13
2020,Xiphinema,15
2021,Aphelenchoides,17
2021,Bursaphelenchus,13
2021,Globodera,2
2021,Heterodera,7
2021,Longidorus,3
2021,Meloidogyne,21
2021,Pratylenchus,13
2021,Rotylenchus,3
2021,Tylenchorhynchus,1
2021,Xiphinema,9
2022,Aphelenchoides,4
2022,Bursaphelenchus,5
2022,Heterodera,13
2022,Longidorus,7
2022,Meloidogyne,11
2022,Pratylenchus,12
2022,Rotylenchus,8
2022,Tylenchorhynchus,7
2022,Xiphinema,4
2023,Bursaphelenchus,3
2023,Globodera,2
2023,Meloidogyne,1
2023,Pratylenchus,1
2023,Rotylenchus,1
2023,Xiphinema,5
