Genus,Host,Count
bursaphelenchus,Brassica oleracea,1
bursaphelenchus,Cabbage,1
bursaphelenchus,Citrus,1
bursaphelenchus,Citrus spp,1
bursaphelenchus,Clover,2
bursaphelenchus,Coconut,13
bursaphelenchus,Cotton,9
bursaphelenchus,Eucalyptus,2
bursaphelenchus,Eucalyptus and,1
bursaphelenchus,Fig,3
bursaphelenchus,Garlic,1
bursaphelenchus,Grass,1
bursaphelenchus,Lettuce,2
bursaphelenchus,Maize,1
bursaphelenchus,Medicago sativa,1
bursaphelenchus,Millet,1
bursaphelenchus,Nicotiana benthamiana,22
bursaphelenchus,Nicotiana tabacum,1
bursaphelenchus,Oak,4
bursaphelenchus,Oat,2
bursaphelenchus,Olive,1
bursaphelenchus,Onion,1
bursaphelenchus,Orange,1
bursaphelenchus,Palm,17
bursaphelenchus,Papaya,1
bursaphelenchus,Pepper,4
bursaphelenchus,Pine,1087
bursaphelenchus,Pinus and,5
bursaphelenchus,Pinus armandii,5
bursaphelenchus,Pinus banksiana,1
bursaphelenchus,Pinus brutia,5
bursaphelenchus,Pinus bungean,1
bursaphelenchus,Pinus canariensis,1
bursaphelenchus,Pinus caribaea,1
bursaphelenchus,Pinus conifers,1
bursaphelenchus,Pinus consensus,2
bursaphelenchus,Pinus contigs,1
bursaphelenchus,Pinus contorta,2
bursaphelenchus,Pinus densifiora,1
bursaphelenchus,Pinus densiflora,78
bursaphelenchus,Pinus echinata,3
bursaphelenchus,Pinus elliottii,3
bursaphelenchus,Pinus forestry,2
bursaphelenchus,Pinus forests,2
bursaphelenchus,Pinus genes,2
bursaphelenchus,Pinus halepensis,8
bursaphelenchus,Pinus has,2
bursaphelenchus,Pinus have,2
bursaphelenchus,Pinus hwangshanensis,1
bursaphelenchus,Pinus jeffreyi,1
bursaphelenchus,Pinus kesiya,1
bursaphelenchus,Pinus koraiensis,24
bursaphelenchus,Pinus luchuensis,2
bursaphelenchus,Pinus massoniana,66
bursaphelenchus,Pinus merkusi,1
bursaphelenchus,Pinus mugo,1
bursaphelenchus,Pinus nigra,9
bursaphelenchus,Pinus parviflora,1
bursaphelenchus,Pinus pinaster,74
bursaphelenchus,Pinus pinea,8
bursaphelenchus,Pinus plantations,1
bursaphelenchus,Pinus ponderosa,1
bursaphelenchus,Pinus radiata,3
bursaphelenchus,Pinus requiring,1
bursaphelenchus,Pinus resinosa,1
bursaphelenchus,Pinus rigida,1
bursaphelenchus,Pinus species,19
bursaphelenchus,Pinus spp,31
bursaphelenchus,Pinus strobus,7
bursaphelenchus,Pinus sylvestris,41
bursaphelenchus,Pinus tabulaeformis,1
bursaphelenchus,Pinus tabuliformis,6
bursaphelenchus,Pinus taeda,6
bursaphelenchus,Pinus thumbergii,2
bursaphelenchus,Pinus thunbergia,1
bursaphelenchus,Pinus thunbergii,153
bursaphelenchus,Pinus thuntergii,1
bursaphelenchus,Pinus tree,1
bursaphelenchus,Pinus trees,6
bursaphelenchus,Pinus tunbergii,1
bursaphelenchus,Pinus uncinata,1
bursaphelenchus,Pinus und,1
bursaphelenchus,Pinus virginiana,1
bursaphelenchus,Pinus yunnanensis,6
bursaphelenchus,Plum,2
bursaphelenchus,Poplar,1
bursaphelenchus,Populus are,1
bursaphelenchus,Populus tremula,2
bursaphelenchus,Populus tremuloides,1
bursaphelenchus,Potato,18
bursaphelenchus,Quercus crispula,1
bursaphelenchus,Quercus glauca,1
bursaphelenchus,Quercus liaotungensis,1
bursaphelenchus,Quercus serrata,2
bursaphelenchus,Quercus variables,2
bursaphelenchus,Rice,1
bursaphelenchus,Soybean,5
bursaphelenchus,Sugarcane,3
bursaphelenchus,Tobacco,5
bursaphelenchus,Tomato,8
bursaphelenchus,Tulip,1
bursaphelenchus,Walnut,1
bursaphelenchus,Wheat,8
criconema,Almond,1
criconema,Apricot,1
criconema,Bean,1
criconema,Oak,1
criconema,Olive,1
criconema,Peach,1
criconema,Pine,1
criconema,Pinus pinaster,1
criconema,Plum,1
criconema,Prunus spp,1
criconema,Tea,1
ditylenchus,Alfalfa,47
ditylenchus,Allium cepa,5
ditylenchus,Allium macrochaetum,1
ditylenchus,Allium sativum,10
ditylenchus,Allium tuberosum,1
ditylenchus,Allium tuncelianum,1
ditylenchus,Arachis hypogaea,8
ditylenchus,Asparagus,1
ditylenchus,Avena fatua,2
ditylenchus,Avena sativa,2
ditylenchus,Barley,6
ditylenchus,Bean,30
ditylenchus,Beet,19
ditylenchus,Beta vulgaris,1
ditylenchus,Brassica campestris,2
ditylenchus,Brassica oleracea,1
ditylenchus,Canola,2
ditylenchus,Carrot,14
ditylenchus,Celery,1
ditylenchus,Chickpea,13
ditylenchus,Chrysanthemum,1
ditylenchus,Citrus,3
ditylenchus,Clover,46
ditylenchus,Coconut,1
ditylenchus,Corn,2
ditylenchus,Cotton,1
ditylenchus,Cowpea,2
ditylenchus,Cucumber,1
ditylenchus,Cucumis sativus,2
ditylenchus,Daucus carota,1
ditylenchus,Faba Bean,8
ditylenchus,Fig,1
ditylenchus,Garlic,49
ditylenchus,Ginger,1
ditylenchus,Grass,18
ditylenchus,Groundnut,3
ditylenchus,Kiwi,2
ditylenchus,Lactuca sativa,2
ditylenchus,Lentil,3
ditylenchus,Lettuce,2
ditylenchus,Lycopersicon esculentum,1
ditylenchus,Maize,7
ditylenchus,Medicago sativa,20
ditylenchus,Medicago truncatula,1
ditylenchus,Medicago was,1
ditylenchus,Medicago were,1
ditylenchus,Oat,26
ditylenchus,Olive,2
ditylenchus,Onion,33
ditylenchus,Palm,1
ditylenchus,Pea,21
ditylenchus,Peanut,14
ditylenchus,Phaseolus vulgaris,1
ditylenchus,Pine,1
ditylenchus,Pinus ponderosa,1
ditylenchus,Pisum sativum,4
ditylenchus,Plantain,1
ditylenchus,Potato,96
ditylenchus,Radish,1
ditylenchus,Raspberry,1
ditylenchus,Rose,1
ditylenchus,Rye,3
ditylenchus,Ryegrass,5
ditylenchus,Solanum argentinum,1
ditylenchus,Solanum demissum,1
ditylenchus,Solanum lycopersicum,2
ditylenchus,Solanum species,1
ditylenchus,Solanum tuberosum,14
ditylenchus,Soybean,6
ditylenchus,Spinach,1
ditylenchus,Strawberry,4
ditylenchus,Sugar Beet,16
ditylenchus,Sugarcane,1
ditylenchus,Sweet Potato,16
ditylenchus,Tobacco,2
ditylenchus,Tomato,15
ditylenchus,Trifolium pratense,6
ditylenchus,Trifolium repens,12
ditylenchus,Trifolium spp,1
ditylenchus,Trifolium subterraneum,1
ditylenchus,Trifolium were,1
ditylenchus,Triticum aestivum,1
ditylenchus,Tulip,14
ditylenchus,Turnip,1
ditylenchus,Vigna sinensis,1
ditylenchus,Wheat,10
dolichodorus,Grass,1
dolichodorus,Lactuca sativa,1
dolichodorus,Maple,1
dolichodorus,Oak,2
dolichodorus,Pine,1
dolichodorus,Quercus suber,2
globodera,Alfalfa,2
globodera,Apple,1
globodera,Avena fatua,1
globodera,Avena sativa,2
globodera,Banana,2
globodera,Barley,16
globodera,Bean,6
globodera,Beet,39
globodera,Beta vulgaris,3
globodera,Brassica juncea,8
globodera,Brassica rapa,2
globodera,Broccoli,6
globodera,Cabbage,7
globodera,Carrot,6
globodera,Cauliflower,6
globodera,Celery,3
globodera,Cherry,1
globodera,Citrus,1
globodera,Clover,4
globodera,Cocoa,1
globodera,Corn,5
globodera,Cotton,1
globodera,Cowpea,2
globodera,Cucumber,1
globodera,Eggplant,5
globodera,Faba Bean,2
globodera,Fig,5
globodera,Flax,3
globodera,Garlic,4
globodera,Ginger,1
globodera,Glycine max,3
globodera,Grape,1
globodera,Grass,3
globodera,Hordeum vulgare,1
globodera,Lactuca spp,1
globodera,Lettuce,2
globodera,Lycopersicon esculentum,6
globodera,Lycopersicon peruvianum,2
globodera,Lycopersicon pimpinellifolium,1
globodera,Lycopersicon spp,2
globodera,Maize,1
globodera,Medicago arborea,1
globodera,Medicago genus,2
globodera,Medicago plant,1
globodera,Medicago sativa,3
globodera,Medicago species,1
globodera,Nicotiana benthamiana,15
globodera,Nicotiana expressing,2
globodera,Nicotiana glutinosa,2
globodera,Nicotiana lines,2
globodera,Nicotiana miersii,2
globodera,Nicotiana species,4
globodera,Nicotiana tabaccum,1
globodera,Nicotiana tabacum,19
globodera,Oak,1
globodera,Oat,3
globodera,Olive,1
globodera,Onion,3
globodera,Orange,5
globodera,Oryza sativa,3
globodera,Papaya,1
globodera,Pea,7
globodera,Peach,2
globodera,Pear,1
globodera,Pepper,3
globodera,Phaseolus vulgaris,1
globodera,Pigeon Pea,2
globodera,Pineapple,1
globodera,Pisum sativum,2
globodera,Potato,1082
globodera,Radish,8
globodera,Rapeseed,1
globodera,Rice,7
globodera,Rose,2
globodera,Ryegrass,1
globodera,Saccharum officinarum,2
globodera,Solanum accessions,1
globodera,Solanum americanum,2
globodera,Solanum andigena,2
globodera,Solanum carolinense,1
globodera,Solanum chacoense,1
globodera,Solanum chaucha,2
globodera,Solanum clone,1
globodera,Solanum clones,2
globodera,Solanum demissum,2
globodera,Solanum dulcamara,3
globodera,Solanum family,1
globodera,Solanum genotypes,3
globodera,Solanum gourlayi,1
globodera,Solanum hosts,1
globodera,Solanum integrifolium,1
globodera,Solanum leptophyes,1
globodera,Solanum lignicaule,1
globodera,Solanum lycopersicum,6
globodera,Solanum melongena,2
globodera,Solanum multidissectum,2
globodera,Solanum nigrum,6
globodera,Solanum phureja,4
globodera,Solanum physalifolium,1
globodera,Solanum pimpinellifolium,1
globodera,Solanum potato,1
globodera,Solanum sanctae,1
globodera,Solanum sarrachoides,2
globodera,Solanum series,1
globodera,Solanum sisymbriifolium,31
globodera,Solanum sources,1
globodera,Solanum sparsipilum,4
globodera,Solanum species,15
globodera,Solanum spegazzinii,2
globodera,Solanum spp,4
globodera,Solanum stenotomum,2
globodera,Solanum tarijense,1
globodera,Solanum tested,4
globodera,Solanum tuberosum,129
globodera,Solanum tuberosurn,2
globodera,Solanum uernei,1
globodera,Solanum vernei,29
globodera,Solanum villosum,2
globodera,Solanum yungasense,1
globodera,Sorghum,1
globodera,Soybean,20
globodera,Strawberry,1
globodera,Sugar Beet,17
globodera,Sugarcane,2
globodera,Sunflower,2
globodera,Sweet Potato,3
globodera,Tea,2
globodera,Tobacco,67
globodera,Tomato,115
globodera,Triticum spp,1
globodera,Turmeric,1
globodera,Turnip,2
globodera,Wheat,11
helicotylenchus,Acacia,1
helicotylenchus,Alfalfa,3
helicotylenchus,Almond,1
helicotylenchus,Apple,2
helicotylenchus,Arachis hypogaea,1
helicotylenchus,Avena sativa,1
helicotylenchus,Banana,65
helicotylenchus,Barley,4
helicotylenchus,Bean,6
helicotylenchus,Brassica campestris,1
helicotylenchus,Brassica species,1
helicotylenchus,Cabbage,3
helicotylenchus,Cacao,1
helicotylenchus,Canola,1
helicotylenchus,Carrot,2
helicotylenchus,Cassava,1
helicotylenchus,Cauliflower,3
helicotylenchus,Cherry,2
helicotylenchus,Chickpea,4
helicotylenchus,Chrysanthemum,1
helicotylenchus,Citrus,5
helicotylenchus,Citrus fruits,1
helicotylenchus,Citrus reliculata,1
helicotylenchus,Clover,7
helicotylenchus,Cocoa,1
helicotylenchus,Coconut,1
helicotylenchus,Corn,9
helicotylenchus,Cotton,12
helicotylenchus,Cowpea,3
helicotylenchus,Cucumber,4
helicotylenchus,Cucumis sativus,1
helicotylenchus,Eggplant,1
helicotylenchus,Fescue,5
helicotylenchus,Fig,2
helicotylenchus,Garlic,1
helicotylenchus,Ginger,1
helicotylenchus,Glycine max,10
helicotylenchus,Grape,1
helicotylenchus,Grass,17
helicotylenchus,Groundnut,1
helicotylenchus,Hemp,1
helicotylenchus,Jute,1
helicotylenchus,Kiwi,1
helicotylenchus,Lemon,1
helicotylenchus,Lentil,1
helicotylenchus,Lettuce,1
helicotylenchus,Maize,8
helicotylenchus,Malus pumila,1
helicotylenchus,Mango,1
helicotylenchus,Maple,1
helicotylenchus,Medicago minima,2
helicotylenchus,Medicago saliva,1
helicotylenchus,Medicago sativum,1
helicotylenchus,Millet,8
helicotylenchus,Musa acuminata,3
helicotylenchus,Musa cavendishii,1
helicotylenchus,Musa cropping,1
helicotylenchus,Musa cultivars,1
helicotylenchus,Musa family,1
helicotylenchus,Musa genotype,1
helicotylenchus,Musa genotypes,3
helicotylenchus,Musa groups,1
helicotylenchus,Musa paradisiaca,2
helicotylenchus,Musa production,1
helicotylenchus,Musa spp,18
helicotylenchus,Nicotiana occidentalis,1
helicotylenchus,Oak,1
helicotylenchus,Oat,6
helicotylenchus,Olive,6
helicotylenchus,Onion,1
helicotylenchus,Orange,1
helicotylenchus,Oryza glaberrima,1
helicotylenchus,Palm,3
helicotylenchus,Papaya,3
helicotylenchus,Peach,2
helicotylenchus,Peanut,7
helicotylenchus,Pear,1
helicotylenchus,Pepper,1
helicotylenchus,Phaseolus vulgaris,2
helicotylenchus,Pine,1
helicotylenchus,Pineapple,5
helicotylenchus,Pinus strobus,1
helicotylenchus,Plantain,21
helicotylenchus,Potato,9
helicotylenchus,Quercus robur,2
helicotylenchus,Radish,3
helicotylenchus,Rapeseed,1
helicotylenchus,Rice,12
helicotylenchus,Rose,1
helicotylenchus,Rye,3
helicotylenchus,Ryegrass,2
helicotylenchus,Saccharum spp,1
helicotylenchus,Solanum lycopersicum,1
helicotylenchus,Solanum tuberosum,1
helicotylenchus,Sorghum,2
helicotylenchus,Soybean,31
helicotylenchus,Strawberry,2
helicotylenchus,Sugarcane,27
helicotylenchus,Sunflower,1
helicotylenchus,Sweet Potato,7
helicotylenchus,Taro,1
helicotylenchus,Tea,2
helicotylenchus,Theobroma grandiflorum,2
helicotylenchus,Tobacco,3
helicotylenchus,Tomato,9
helicotylenchus,Trifolium incarnatum,1
helicotylenchus,Trifolium pratense,1
helicotylenchus,Trifolium repens,2
helicotylenchus,Triticale,2
helicotylenchus,Triticum aestivum,1
helicotylenchus,Vigna unguiculata,3
helicotylenchus,Walnut,4
helicotylenchus,Wheat,13
helicotylenchus,Yam,2
hemicriconemoides,Almond,1
hemicriconemoides,Banana,1
hemicriconemoides,Grass,3
hemicriconemoides,Hordeum bogdanii,1
hemicriconemoides,Palm,1
hemicriconemoides,Pine,1
hemicriconemoides,Rice,3
hemicriconemoides,Tea,1
hemicycliophora,Alfalfa,1
hemicycliophora,Allium cepa,1
hemicycliophora,Barley,1
hemicycliophora,Bean,2
hemicycliophora,Citrus,2
hemicycliophora,Citrus spp,1
hemicycliophora,Clover,1
hemicycliophora,Cotton,1
hemicycliophora,Fig,2
hemicycliophora,Flax,1
hemicycliophora,Grass,14
hemicycliophora,Lemon,4
hemicycliophora,Lycopersicon esculentum,1
hemicycliophora,Maize,1
hemicycliophora,Onion,1
hemicycliophora,Oryza sativa,1
hemicycliophora,Palm,1
hemicycliophora,Peach,3
hemicycliophora,Prunus persica,2
hemicycliophora,Rice,7
hemicycliophora,Rose,1
hemicycliophora,Rubber,1
hemicycliophora,Rye,1
hemicycliophora,Soybean,2
hemicycliophora,Strawberry,1
hemicycliophora,Sugarcane,4
hemicycliophora,Tea,2
hemicycliophora,Tomato,6
hemicycliophora,Triticum aestivum,2
hemicycliophora,Wheat,6
hemicycliophora,Willow,1
heterodera,Acacia,1
heterodera,Alfalfa,19
heterodera,Arachis hypogaea,2
heterodera,Avena sativa,4
heterodera,Avena sterilis,1
heterodera,Avena strigosa,4
heterodera,Banana,5
heterodera,Barley,95
heterodera,Bean,80
heterodera,Beet,424
heterodera,Beetroot,3
heterodera,Beta genomes,1
heterodera,Beta germplasm,2
heterodera,Beta patellaris,3
heterodera,Beta procumbens,8
heterodera,Beta species,5
heterodera,Beta virus,1
heterodera,Beta vulgaris,97
heterodera,Beta webbiana,1
heterodera,Brassica and,3
heterodera,Brassica carinata,1
heterodera,Brassica cropping,2
heterodera,Brassica crops,3
heterodera,Brassica cyst,1
heterodera,Brassica fields,1
heterodera,Brassica germplasm,1
heterodera,Brassica hybrids,1
heterodera,Brassica juncea,7
heterodera,Brassica lines,1
heterodera,Brassica napus,25
heterodera,Brassica nigra,3
heterodera,Brassica olareacae,2
heterodera,Brassica oleracea,6
heterodera,Brassica rapa,12
heterodera,Brassica species,5
heterodera,Brassica than,2
heterodera,Broccoli,4
heterodera,Cabbage,45
heterodera,Canola,11
heterodera,Carnation,4
heterodera,Carrot,25
heterodera,Cassava,2
heterodera,Cauliflower,10
heterodera,Celery,3
heterodera,Cherry,2
heterodera,Chickpea,13
heterodera,Chrysanthemum,1
heterodera,Citrus,3
heterodera,Citrus leaf,1
heterodera,Clover,124
heterodera,Cocoa,2
heterodera,Corn,109
heterodera,Cotton,20
heterodera,Cowpea,8
heterodera,Cucumber,8
heterodera,Cucumis melo,1
heterodera,Cucumis sativus,2
heterodera,Daucus carota,6
heterodera,Eggplant,5
heterodera,Eucalyptus,2
heterodera,Faba Bean,2
heterodera,Fescue,3
heterodera,Fig,10
heterodera,Flax,1
heterodera,Garlic,2
heterodera,Glycine and,1
heterodera,Glycine latifolia,1
heterodera,Glycine mar,2
heterodera,Glycine max,566
heterodera,Glycine soja,20
heterodera,Glycine species,5
heterodera,Glycine tomentella,1
heterodera,Gossypium hirsutum,11
heterodera,Grass,41
heterodera,Groundnut,2
heterodera,Hemp,8
heterodera,Hordeum pallidum,2
heterodera,Hordeum vulgare,16
heterodera,Jute,2
heterodera,Lemon,50
heterodera,Lentil,3
heterodera,Lettuce,5
heterodera,Lycopersicon esculentum,1
heterodera,Maize,38
heterodera,Malus and,1
heterodera,Medicago lupulina,1
heterodera,Medicago plants,1
heterodera,Medicago sativa,10
heterodera,Medicago truncatula,2
heterodera,Millet,5
heterodera,Mung Bean,8
heterodera,Musa spp,2
heterodera,Nicotiana benthamiana,17
heterodera,Nicotiana tabacum,3
heterodera,Oat,57
heterodera,Olive,6
heterodera,Onion,4
heterodera,Orange,1
heterodera,Oryza sativa,27
heterodera,Palm,2
heterodera,Pea,53
heterodera,Peach,7
heterodera,Peanut,13
heterodera,Pear,2
heterodera,Pepper,5
heterodera,Phaseolus aureus,1
heterodera,Phaseolus spp,2
heterodera,Phaseolus vulgaris,26
heterodera,Pigeon Pea,10
heterodera,Pine,7
heterodera,Pineapple,2
heterodera,Pisum sativam,1
heterodera,Pisum sativum,13
heterodera,Plantain,1
heterodera,Poplar,1
heterodera,Potato,94
heterodera,Prunus and,1
heterodera,Radish,58
heterodera,Rapeseed,7
heterodera,Rice,85
heterodera,Rose,2
heterodera,Rubber,3
heterodera,Rye,22
heterodera,Ryegrass,26
heterodera,Saccharum interspecific,1
heterodera,Saccharum officinalis,3
heterodera,Saccharum officinarum,1
heterodera,Safflower,2
heterodera,Sesame,7
heterodera,Solanum and,1
heterodera,Solanum lycopersicum,3
heterodera,Solanum melongena,1
heterodera,Solanum nigrum,3
heterodera,Solanum tuberosum,7
heterodera,Sorghum,15
heterodera,Soya,5
heterodera,Soybean,1309
heterodera,Spinach,3
heterodera,Sugar Beet,239
heterodera,Sugarcane,9
heterodera,Sunflower,2
heterodera,Sweet Potato,1
heterodera,Tea,1
heterodera,Tobacco,24
heterodera,Tomato,56
heterodera,Trifolium alexandrinum,2
heterodera,Trifolium hybridum,1
heterodera,Trifolium incarnatum,2
heterodera,Trifolium nigrescens,2
heterodera,Trifolium pratense,6
heterodera,Trifolium pretense,2
heterodera,Trifolium repens,39
heterodera,Trifolium spp,4
heterodera,Triticale,5
heterodera,Triticum aestivum,60
heterodera,Triticum durum,2
heterodera,Triticum monococcum,2
heterodera,Triticum rhizosphere,1
heterodera,Triticum turgidum,3
heterodera,Turnip,9
heterodera,Vigna accessions,2
heterodera,Vigna angularis,4
heterodera,Vigna mungo,2
heterodera,Vigna radiata,6
heterodera,Vigna sinensis,1
heterodera,Vigna species,2
heterodera,Vigna spp,1
heterodera,Vigna unguiculata,1
heterodera,Walnut,1
heterodera,Wheat,266
heterodera,Willow,1
hirschmanniella,Asparagus,1
hirschmanniella,Groundnut,1
hirschmanniella,Maize,1
hirschmanniella,Oak,1
hirschmanniella,Oryza sativa,3
hirschmanniella,Potato,2
hirschmanniella,Rice,24
hirschmanniella,Solanum tuberosum,2
hirschmanniella,Taro,1
hirschmanniella,Tomato,2
hirschmanniella,Wheat,1
hoplolaimus,Acacia,2
hoplolaimus,Alfalfa,2
hoplolaimus,Apple,1
hoplolaimus,Avena sativa,1
hoplolaimus,Banana,5
hoplolaimus,Barley,2
hoplolaimus,Bean,1
hoplolaimus,Brassica campestris,1
hoplolaimus,Cabbage,1
hoplolaimus,Cauliflower,1
hoplolaimus,Citrus,1
hoplolaimus,Citrus aurantifolia,1
hoplolaimus,Citrus limon,1
hoplolaimus,Citrus paradisi,1
hoplolaimus,Citrus sinensis,1
hoplolaimus,Clover,2
hoplolaimus,Coffee,1
hoplolaimus,Corn,3
hoplolaimus,Cotton,25
hoplolaimus,Cowpea,1
hoplolaimus,Eucalyptus,1
hoplolaimus,Eucalyptus microtheca,1
hoplolaimus,Fescue,2
hoplolaimus,Fig,2
hoplolaimus,Glycine max,6
hoplolaimus,Gossypium barbadense,1
hoplolaimus,Gossypium hirsutum,3
hoplolaimus,Grape,1
hoplolaimus,Grass,7
hoplolaimus,Groundnut,1
hoplolaimus,Jute,1
hoplolaimus,Lemon,1
hoplolaimus,Maize,8
hoplolaimus,Malus domestica,1
hoplolaimus,Mango,1
hoplolaimus,Millet,1
hoplolaimus,Musa sapentium,1
hoplolaimus,Nicotiana spp,1
hoplolaimus,Oak,1
hoplolaimus,Oat,2
hoplolaimus,Onion,2
hoplolaimus,Papaya,1
hoplolaimus,Peach,3
hoplolaimus,Pine,1
hoplolaimus,Plantain,1
hoplolaimus,Potato,2
hoplolaimus,Prunus persica,3
hoplolaimus,Radish,1
hoplolaimus,Rice,3
hoplolaimus,Rye,4
hoplolaimus,Ryegrass,2
hoplolaimus,Saccharum officinarum,2
hoplolaimus,Solanum melongena,1
hoplolaimus,Solanum tuberosum,1
hoplolaimus,Sorghum,2
hoplolaimus,Soybean,25
hoplolaimus,Spinach,1
hoplolaimus,Sugarcane,3
hoplolaimus,Sunflower,1
hoplolaimus,Sweet Potato,1
hoplolaimus,Tea,2
hoplolaimus,Tomato,4
hoplolaimus,Triticum aestivum,2
hoplolaimus,Tulip,3
hoplolaimus,Turnip,1
hoplolaimus,Wheat,7
litylenchus,Maple,1
longidorus,Apple,1
longidorus,Apricot,1
longidorus,Barley,8
longidorus,Bean,3
longidorus,Beet,16
