Host,N_Mentions,Total_Citations,Mean_Citations,expected_mentions,bias_ratio,bias_category
identification of,107,5981,55.89719626168224,5.247392174394346,20.391081215947032,Overstudied
well as,106,6611,62.367924528301884,5.247392174394346,20.200510363461547,Overstudied
of root,106,10913,102.95283018867924,5.247392174394346,20.200510363461547,Overstudied
the morphological,106,4721,44.5377358490566,5.247392174394346,20.200510363461547,Overstudied
the female,104,1701,16.35576923076923,5.247392174394346,19.819368658490575,Overstudied
rhizosphere of,104,947,9.10576923076923,5.247392174394346,19.819368658490575,Overstudied
lateral field,104,1457,14.009615384615385,5.247392174394346,19.819368658490575,Overstudied
resulted in,103,3746,36.36893203883495,5.247392174394346,19.62879780600509,Overstudied
region with,103,1814,17.611650485436893,5.247392174394346,19.62879780600509,Overstudied
followed by,103,4346,42.19417475728155,5.247392174394346,19.62879780600509,Overstudied
it was,103,5325,51.699029126213595,5.247392174394346,19.62879780600509,Overstudied
to a,102,11152,109.33333333333333,5.247392174394346,19.438226953519603,Overstudied
resistance to,102,11506,112.80392156862744,5.247392174394346,19.438226953519603,Overstudied
is characterized,102,1794,17.58823529411765,5.247392174394346,19.438226953519603,Overstudied
belonging to,102,1724,16.901960784313726,5.247392174394346,19.438226953519603,Overstudied
and partial,101,2375,23.514851485148515,5.247392174394346,19.247656101034114,Overstudied
of meloidogyne,101,10290,101.88118811881188,5.247392174394346,19.247656101034114,Overstudied
of several,101,13799,136.62376237623764,5.247392174394346,19.247656101034114,Overstudied
this new,100,2930,29.3,5.247392174394346,19.057085248548628,Overstudied
has been,100,8754,87.54,5.247392174394346,19.057085248548628,Overstudied
the phylogenetic,100,1885,18.85,5.247392174394346,19.057085248548628,Overstudied
in order,100,69863,698.63,5.247392174394346,19.057085248548628,Overstudied
development of,100,12075,120.75,5.247392174394346,19.057085248548628,Overstudied
the molecular,99,8419,85.04040404040404,5.247392174394346,18.866514396063142,Overstudied
compared with,99,6734,68.02020202020202,5.247392174394346,18.866514396063142,Overstudied
of nematode,98,4877,49.765306122448976,5.247392174394346,18.675943543577656,Overstudied
confirmed the,98,2382,24.306122448979593,5.247392174394346,18.675943543577656,Overstudied
with other,97,1282,13.216494845360824,5.247392174394346,18.48537269109217,Overstudied
nematodes were,97,2684,27.670103092783506,5.247392174394346,18.48537269109217,Overstudied
of each,97,70561,727.4329896907217,5.247392174394346,18.48537269109217,Overstudied
closely related,97,11359,117.10309278350516,5.247392174394346,18.48537269109217,Overstudied
using the,97,4344,44.78350515463917,5.247392174394346,18.48537269109217,Overstudied
and root,96,4808,50.083333333333336,5.247392174394346,18.294801838606684,Overstudied
but not,96,11339,118.11458333333333,5.247392174394346,18.294801838606684,Overstudied
as the,95,3590,37.78947368421053,5.247392174394346,18.1042309861212,Overstudied
the three,94,3496,37.191489361702125,5.247392174394346,17.913660133635712,Overstudied
in europe,94,14784,157.27659574468086,5.247392174394346,17.913660133635712,Overstudied
and tail,93,1497,16.096774193548388,5.247392174394346,17.723089281150227,Overstudied
from a,93,2224,23.913978494623656,5.247392174394346,17.723089281150227,Overstudied
and pratylenchus,93,7340,78.9247311827957,5.247392174394346,17.723089281150227,Overstudied
and its,91,3205,35.21978021978022,5.247392174394346,17.34194757617925,Overstudied
showed that,91,6016,66.10989010989012,5.247392174394346,17.34194757617925,Overstudied
used to,91,6034,66.3076923076923,5.247392174394346,17.34194757617925,Overstudied
molecular analyses,91,1408,15.472527472527473,5.247392174394346,17.34194757617925,Overstudied
lateral fields,91,1279,14.054945054945055,5.247392174394346,17.34194757617925,Overstudied
the body,91,923,10.142857142857142,5.247392174394346,17.34194757617925,Overstudied
are also,90,3667,40.74444444444445,5.247392174394346,17.151376723693765,Overstudied
are described,90,1374,15.266666666666667,5.247392174394346,17.151376723693765,Overstudied
in soil,90,3725,41.388888888888886,5.247392174394346,17.151376723693765,Overstudied
and r,90,1608,17.866666666666667,5.247392174394346,17.151376723693765,Overstudied
the soil,90,3258,36.2,5.247392174394346,17.151376723693765,Overstudied
other species,89,4700,52.80898876404494,5.247392174394346,16.96080587120828,Overstudied
were also,89,3509,39.42696629213483,5.247392174394346,16.96080587120828,Overstudied
meloidogyne species,89,9589,107.74157303370787,5.247392174394346,16.96080587120828,Overstudied
were used,88,6880,78.18181818181819,5.247392174394346,16.770235018722794,Overstudied
the male,88,1066,12.113636363636363,5.247392174394346,16.770235018722794,Overstudied
and two,88,2502,28.431818181818183,5.247392174394346,16.770235018722794,Overstudied
the aim,88,71098,807.9318181818181,5.247392174394346,16.770235018722794,Overstudied
and their,88,4699,53.39772727272727,5.247392174394346,16.770235018722794,Overstudied
out of,88,9916,112.68181818181819,5.247392174394346,16.770235018722794,Overstudied
were studied,88,4069,46.23863636363637,5.247392174394346,16.770235018722794,Overstudied
from other,87,3500,40.229885057471265,5.247392174394346,16.579664166237308,Overstudied
having a,87,792,9.10344827586207,5.247392174394346,16.579664166237308,Overstudied
aphelenchoides besseyi,87,69189,795.2758620689655,5.247392174394346,16.579664166237308,Overstudied
between the,87,2642,30.367816091954023,5.247392174394346,16.579664166237308,Overstudied
meloidogyne hapla,87,9627,110.65517241379311,5.247392174394346,16.579664166237308,Overstudied
revealed that,86,5916,68.79069767441861,5.247392174394346,16.38909331375182,Overstudied
differs from,86,778,9.046511627906977,5.247392174394346,16.38909331375182,Overstudied
population densities,86,1889,21.96511627906977,5.247392174394346,16.38909331375182,Overstudied
meloidogyne arenaria,86,11164,129.8139534883721,5.247392174394346,16.38909331375182,Overstudied
helicotylenchus dihystera,85,2142,25.2,5.247392174394346,16.198522461266336,Overstudied
economic importance,85,70082,824.4941176470588,5.247392174394346,16.198522461266336,Overstudied
during the,85,3240,38.11764705882353,5.247392174394346,16.198522461266336,Overstudied
rrna genes,85,1264,14.870588235294118,5.247392174394346,16.198522461266336,Overstudied
xiphinema americanum,85,2375,27.941176470588236,5.247392174394346,16.198522461266336,Overstudied
molecular data,85,1853,21.8,5.247392174394346,16.198522461266336,Overstudied
one of,85,6330,74.47058823529412,5.247392174394346,16.198522461266336,Overstudied
together with,84,6628,78.9047619047619,5.247392174394346,16.00795160878085,Overstudied
the use,84,11483,136.70238095238096,5.247392174394346,16.00795160878085,Overstudied
and is,84,2837,33.773809523809526,5.247392174394346,16.00795160878085,Overstudied
species from,84,2274,27.071428571428573,5.247392174394346,16.00795160878085,Overstudied
first time,84,2249,26.773809523809526,5.247392174394346,16.00795160878085,Overstudied
our results,83,7391,89.04819277108433,5.247392174394346,15.817380756295362,Overstudied
of their,83,12111,145.9156626506024,5.247392174394346,15.817380756295362,Overstudied
the same,83,5421,65.3132530120482,5.247392174394346,15.817380756295362,Overstudied
the effects,82,5194,63.34146341463415,5.247392174394346,15.626809903809876,Overstudied
was not,82,3026,36.90243902439025,5.247392174394346,15.626809903809876,Overstudied
species are,82,1038,12.658536585365853,5.247392174394346,15.626809903809876,Overstudied
analyses of,81,2658,32.81481481481482,5.247392174394346,15.436239051324389,Overstudied
nacobbus aberrans,81,69539,858.5061728395061,5.247392174394346,15.436239051324389,Overstudied
in two,80,3509,43.8625,5.247392174394346,15.245668198838903,Overstudied
region of,80,5420,67.75,5.247392174394346,15.245668198838903,Overstudied
xiphinema index,80,69652,870.65,5.247392174394346,15.245668198838903,Overstudied
in roots,80,9311,116.3875,5.247392174394346,15.245668198838903,Overstudied
the region,80,69453,868.1625,5.247392174394346,15.245668198838903,Overstudied
caused by,80,3241,40.5125,5.247392174394346,15.245668198838903,Overstudied
of two,79,4461,56.46835443037975,5.247392174394346,15.055097346353417,Overstudied
and three,79,1593,20.164556962025316,5.247392174394346,15.055097346353417,Overstudied
were recovered,79,2640,33.41772151898734,5.247392174394346,15.055097346353417,Overstudied
the stylet,79,1115,14.113924050632912,5.247392174394346,15.055097346353417,Overstudied
similar to,79,1092,13.822784810126583,5.247392174394346,15.055097346353417,Overstudied
by having,79,582,7.367088607594937,5.247392174394346,15.055097346353417,Overstudied
the only,79,68883,871.9367088607595,5.247392174394346,15.055097346353417,Overstudied
of nematodes,79,1842,23.31645569620253,5.247392174394346,15.055097346353417,Overstudied
the highest,78,2556,32.76923076923077,5.247392174394346,14.864526493867931,Overstudied
the present,78,1633,20.935897435897434,5.247392174394346,14.864526493867931,Overstudied
the two,78,3139,40.243589743589745,5.247392174394346,14.864526493867931,Overstudied
distribution of,77,2314,30.051948051948052,5.247392174394346,14.673955641382443,Overstudied
from which,77,1350,17.532467532467532,5.247392174394346,14.673955641382443,Overstudied
the pine,77,69620,904.1558441558442,5.247392174394346,14.673955641382443,Overstudied
during a,77,2626,34.103896103896105,5.247392174394346,14.673955641382443,Overstudied
from soil,77,687,8.922077922077921,5.247392174394346,14.673955641382443,Overstudied
may be,77,10345,134.35064935064935,5.247392174394346,14.673955641382443,Overstudied
depending on,77,68920,895.0649350649351,5.247392174394346,14.673955641382443,Overstudied
lesion nematodes,76,2271,29.88157894736842,5.247392174394346,14.483384788896958,Overstudied
the second,76,968,12.736842105263158,5.247392174394346,14.483384788896958,Overstudied
morphometric and,76,686,9.026315789473685,5.247392174394346,14.483384788896958,Overstudied
been reported,76,9705,127.69736842105263,5.247392174394346,14.483384788896958,Overstudied
molecular analysis,76,3719,48.93421052631579,5.247392174394346,14.483384788896958,Overstudied
annuli and,75,1521,20.28,5.247392174394346,14.292813936411472,Overstudied
indicating that,75,2972,39.626666666666665,5.247392174394346,14.292813936411472,Overstudied
indicated that,75,1138,15.173333333333334,5.247392174394346,14.292813936411472,Overstudied
they are,75,11959,159.45333333333335,5.247392174394346,14.292813936411472,Overstudied
soil and,75,1012,13.493333333333334,5.247392174394346,14.292813936411472,Overstudied
report of,75,695,9.266666666666667,5.247392174394346,14.292813936411472,Overstudied
which are,75,4799,63.986666666666665,5.247392174394346,14.292813936411472,Overstudied
of h,75,6625,88.33333333333333,5.247392174394346,14.292813936411472,Overstudied
the potential,74,4533,61.25675675675676,5.247392174394346,14.102243083925986,Overstudied
scanning electron,74,1961,26.5,5.247392174394346,14.102243083925986,Overstudied
is the,74,5936,80.21621621621621,5.247392174394346,14.102243083925986,Overstudied
southern spain,74,2506,33.86486486486486,5.247392174394346,14.102243083925986,Overstudied
the lateral,74,2603,35.17567567567568,5.247392174394346,14.102243083925986,Overstudied
in vitro,74,10062,135.97297297297297,5.247392174394346,14.102243083925986,Overstudied
in contrast,74,10347,139.82432432432432,5.247392174394346,14.102243083925986,Overstudied
while the,74,2657,35.9054054054054,5.247392174394346,14.102243083925986,Overstudied
javanica and,74,10692,144.48648648648648,5.247392174394346,14.102243083925986,Overstudied
species belongs,74,683,9.22972972972973,5.247392174394346,14.102243083925986,Overstudied
and c,74,828,11.18918918918919,5.247392174394346,14.102243083925986,Overstudied
which was,74,2652,35.83783783783784,5.247392174394346,14.102243083925986,Overstudied
excretory pore,73,410,5.616438356164384,5.247392174394346,13.9116722314405,Overstudied
not be,73,70260,962.4657534246576,5.247392174394346,13.9116722314405,Overstudied
the occurrence,73,1517,20.78082191780822,5.247392174394346,13.9116722314405,Overstudied
in some,73,3353,45.93150684931507,5.247392174394346,13.9116722314405,Overstudied
indicate that,73,1839,25.19178082191781,5.247392174394346,13.9116722314405,Overstudied
to identify,73,2323,31.82191780821918,5.247392174394346,13.9116722314405,Overstudied
globodera spp,73,68764,941.972602739726,5.247392174394346,13.9116722314405,Overstudied
level of,72,975,13.541666666666666,5.247392174394346,13.721101378955012,Overstudied
species with,72,3396,47.166666666666664,5.247392174394346,13.721101378955012,Overstudied
transcribed spacer,72,3082,42.80555555555556,5.247392174394346,13.721101378955012,Overstudied
up to,71,4194,59.070422535211264,5.247392174394346,13.530530526469526,Overstudied
gene sequences,71,1663,23.422535211267604,5.247392174394346,13.530530526469526,Overstudied
of soil,71,1695,23.87323943661972,5.247392174394346,13.530530526469526,Overstudied
the survey,71,69768,982.6478873239437,5.247392174394346,13.530530526469526,Overstudied
xiphinema species,71,1934,27.239436619718308,5.247392174394346,13.530530526469526,Overstudied
and one,71,1483,20.887323943661972,5.247392174394346,13.530530526469526,Overstudied
of species,71,2448,34.478873239436616,5.247392174394346,13.530530526469526,Overstudied
list of,71,68742,968.1971830985915,5.247392174394346,13.530530526469526,Overstudied
but also,71,9954,140.19718309859155,5.247392174394346,13.530530526469526,Overstudied
were collected,70,916,13.085714285714285,5.247392174394346,13.33995967398404,Overstudied
the population,70,2791,39.871428571428574,5.247392174394346,13.33995967398404,Overstudied
among the,70,2416,34.51428571428571,5.247392174394346,13.33995967398404,Overstudied
that are,70,3700,52.857142857142854,5.247392174394346,13.33995967398404,Overstudied
identified as,70,1723,24.614285714285714,5.247392174394346,13.33995967398404,Overstudied
composed of,70,68765,982.3571428571429,5.247392174394346,13.33995967398404,Overstudied
the control,70,9311,133.0142857142857,5.247392174394346,13.33995967398404,Overstudied
the sequences,70,1050,15.0,5.247392174394346,13.33995967398404,Overstudied
were observed,69,3074,44.55072463768116,5.247392174394346,13.149388821498555,Overstudied
virus vector,69,68711,995.8115942028985,5.247392174394346,13.149388821498555,Overstudied
tail with,69,683,9.898550724637682,5.247392174394346,13.149388821498555,Overstudied
relationships of,69,2393,34.68115942028985,5.247392174394346,13.149388821498555,Overstudied
isolated from,69,3040,44.05797101449275,5.247392174394346,13.149388821498555,Overstudied
described and,69,576,8.347826086956522,5.247392174394346,13.149388821498555,Overstudied
those of,68,1533,22.544117647058822,5.247392174394346,12.958817969013067,Overstudied
which a,68,70176,1032.0,5.247392174394346,12.958817969013067,Overstudied
close to,68,1052,15.470588235294118,5.247392174394346,12.958817969013067,Overstudied
root lesion,68,68972,1014.2941176470588,5.247392174394346,12.958817969013067,Overstudied
banana,68,1616,23.764705882352942,5.247392174394346,12.958817969013067,Overstudied
nematodes in,68,2199,32.338235294117645,5.247392174394346,12.958817969013067,Overstudied
to develop,68,10891,160.16176470588235,5.247392174394346,12.958817969013067,Overstudied
days after,68,3535,51.98529411764706,5.247392174394346,12.958817969013067,Overstudied
separated from,67,1018,15.194029850746269,5.247392174394346,12.768247116527581,Overstudied
host range,67,8971,133.8955223880597,5.247392174394346,12.768247116527581,Overstudied
in tomato,67,4409,65.80597014925372,5.247392174394346,12.768247116527581,Overstudied
the biology,67,71327,1064.5820895522388,5.247392174394346,12.768247116527581,Overstudied
of x,67,754,11.253731343283581,5.247392174394346,12.768247116527581,Overstudied
and h,66,1434,21.727272727272727,5.247392174394346,12.577676264042095,Overstudied
cyst nematode,66,5309,80.43939393939394,5.247392174394346,12.577676264042095,Overstudied
to m,66,3694,55.96969696969697,5.247392174394346,12.577676264042095,Overstudied
molecular characterisation,66,1543,23.37878787878788,5.247392174394346,12.577676264042095,Overstudied
vulva located,66,697,10.56060606060606,5.247392174394346,12.577676264042095,Overstudied
of xiphinema,66,943,14.287878787878787,5.247392174394346,12.577676264042095,Overstudied
these results,66,2278,34.515151515151516,5.247392174394346,12.577676264042095,Overstudied
range of,66,10219,154.83333333333334,5.247392174394346,12.577676264042095,Overstudied
globodera rostochiensis,66,10243,155.1969696969697,5.247392174394346,12.577676264042095,Overstudied
which has,66,1839,27.863636363636363,5.247392174394346,12.577676264042095,Overstudied
absence of,66,2437,36.92424242424242,5.247392174394346,12.577676264042095,Overstudied
were not,66,2624,39.75757575757576,5.247392174394346,12.577676264042095,Overstudied
the reniform,65,69000,1061.5384615384614,5.247392174394346,12.38710541155661,Overstudied
the nematodes,65,2899,44.6,5.247392174394346,12.38710541155661,Overstudied
detected in,65,3363,51.738461538461536,5.247392174394346,12.38710541155661,Overstudied
differences between,65,7953,122.35384615384615,5.247392174394346,12.38710541155661,Overstudied
two new,64,971,15.171875,5.247392174394346,12.196534559071123,Overstudied
of r,64,1460,22.8125,5.247392174394346,12.196534559071123,Overstudied
with four,64,901,14.078125,5.247392174394346,12.196534559071123,Overstudied
the top,64,68673,1073.015625,5.247392174394346,12.196534559071123,Overstudied
show that,64,7745,121.015625,5.247392174394346,12.196534559071123,Overstudied
some of,64,3760,58.75,5.247392174394346,12.196534559071123,Overstudied
taken to,64,68644,1072.5625,5.247392174394346,12.196534559071123,Overstudied
sugarcane,64,1326,20.71875,5.247392174394346,12.196534559071123,Overstudied
recovered from,64,1025,16.015625,5.247392174394346,12.196534559071123,Overstudied
differences in,64,1244,19.4375,5.247392174394346,12.196534559071123,Overstudied
and meloidogyne,64,2692,42.0625,5.247392174394346,12.196534559071123,Overstudied
radopholus similis,64,4195,65.546875,5.247392174394346,12.196534559071123,Overstudied
in different,63,7878,125.04761904761905,5.247392174394346,12.005963706585636,Overstudied
heterodera schachtii,63,9916,157.3968253968254,5.247392174394346,12.005963706585636,Overstudied
position of,63,1209,19.19047619047619,5.247392174394346,12.005963706585636,Overstudied
economically important,63,6548,103.93650793650794,5.247392174394346,12.005963706585636,Overstudied
morphological characters,63,1431,22.714285714285715,5.247392174394346,12.005963706585636,Overstudied
of pratylenchus,63,1829,29.03174603174603,5.247392174394346,12.005963706585636,Overstudied
in northern,63,7467,118.52380952380952,5.247392174394346,12.005963706585636,Overstudied
is an,63,3680,58.41269841269841,5.247392174394346,12.005963706585636,Overstudied
stage juvenile,63,3306,52.476190476190474,5.247392174394346,12.005963706585636,Overstudied
are given,62,775,12.5,5.247392174394346,11.81539285410015,Overstudied
wide range,62,4807,77.53225806451613,5.247392174394346,11.81539285410015,Overstudied
into the,62,3744,60.38709677419355,5.247392174394346,11.81539285410015,Overstudied
penetrans and,62,5736,92.51612903225806,5.247392174394346,11.81539285410015,Overstudied
roots and,62,4207,67.85483870967742,5.247392174394346,11.81539285410015,Overstudied
four new,61,554,9.081967213114755,5.247392174394346,11.624822001614664,Overstudied
these pathogens,61,68876,1129.1147540983607,5.247392174394346,11.624822001614664,Overstudied
related species,61,1100,18.0327868852459,5.247392174394346,11.624822001614664,Overstudied
the type,61,1231,20.18032786885246,5.247392174394346,11.624822001614664,Overstudied
with plant,61,69204,1134.4918032786886,5.247392174394346,11.624822001614664,Overstudied
