Genus,Host,N_Mentions,Avg_Citations
Xiphinema,by a,55,9.6
Meloidogyne,can be,55,94.34545454545454
Meloidogyne,egg masses,54,76.96296296296296
Pratylenchus,of Pratylenchus,54,26.203703703703702
Longidorus,and L,54,14.907407407407407
Rotylenchus,and the,54,25.185185185185187
Heterodera,to the,53,98.39622641509433
Meloidogyne,Paecilomyces lilacinus,53,174.9056603773585
Pratylenchus,and Pratylenchus,53,93.58490566037736
Xiphinema,Xiphinema americanum,53,33.056603773584904
Meloidogyne,Meloidogyne javanica,53,62.77358490566038
Meloidogyne,as a,52,109.90384615384616
Rotylenchus,expansion regions,52,26.365384615384617
Rotylenchus,new species,52,25.26923076923077
Rotylenchus,species is,52,24.71153846153846
Pratylenchus,lesion nematodes,52,27.0
Meloidogyne,chitwoodi and,51,159.19607843137254
Xiphinema,from the,51,132.50980392156862
Heterodera,of H,51,110.49019607843137
Meloidogyne,in tomato,51,48.1764705882353
Globodera,potato,50,93.88
Bursaphelenchus,based on,50,475.66
Meloidogyne,and time,50,172.08
Meloidogyne,of host,50,255.3
Xiphinema,the species,49,22.408163265306122
Pratylenchus,species of,49,28.224489795918366
Heterodera,from the,49,106.0
Heterodera,and the,49,92.04081632653062
Meloidogyne,the nematode,49,106.14285714285714
Pratylenchus,penetrans and,49,82.6734693877551
Rotylenchus,of Rotylenchus,49,22.836734693877553
Meloidogyne,resistance to,49,124.87755102040816
Xiphinema,on the,49,21.0
Xiphinema,and partial,49,31.102040816326532
Meloidogyne,due to,49,154.18367346938774
Aphelenchoides,The new,48,9.875
Meloidogyne,Pochonia chlamydosporia,48,157.5
Meloidogyne,and root,48,65.0625
Meloidogyne,but also,48,185.9375
Meloidogyne,in different,47,159.6595744680851
Globodera,to the,46,126.43478260869566
Pratylenchus,Pratylenchus species,46,57.30434782608695
Ditylenchus,of the,46,138.52173913043478
Meloidogyne,Meloidogyne chitwoodi,46,160.91304347826087
Xiphinema,in a,46,27.652173913043477
Meloidogyne,in northern,46,160.32608695652175
Aphelenchoides,of the,46,170.95652173913044
Xiphinema,these species,46,43.52173913043478
Meloidogyne,to be,46,125.28260869565217
Xiphinema,as well,46,21.08695652173913
Meloidogyne,more than,45,162.7111111111111
Globodera,in the,45,129.95555555555555
Meloidogyne,populations of,45,221.24444444444444
Rotylenchus,The results,45,13.511111111111111
Xiphinema,Xiphinema spp,45,21.466666666666665
Xiphinema,with X,44,23.886363636363637
Xiphinema,female tail,44,22.363636363636363
Meloidogyne,Our results,44,127.79545454545455
Pratylenchus,the first,44,16.977272727272727
Xiphinema,as Xiphinema,44,40.61363636363637
Meloidogyne,The Mi,44,189.0909090909091
Xiphinema,Morphological and,44,39.38636363636363
Meloidogyne,to M,43,61.69767441860465
Meloidogyne,of their,43,217.90697674418604
Rotylenchus,vulva located,43,10.465116279069768
Meloidogyne,the genus,43,46.58139534883721
Rotylenchus,sequences of,43,24.88372093023256
Bursaphelenchus,in the,43,35.18604651162791
Globodera,of G,43,70.83720930232558
Rotylenchus,annuli anterior,43,25.13953488372093
Meloidogyne,Out of,43,178.72093023255815
Meloidogyne,found on,42,173.66666666666666
Xiphinema,of this,42,166.1904761904762
Pratylenchus,is described,42,18.857142857142858
Meloidogyne,molecular techniques,42,178.52380952380952
Xiphinema,the most,42,34.73809523809524
Pratylenchus,with the,42,60.904761904761905
Meloidogyne,roots of,42,50.833333333333336
Meloidogyne,followed by,42,80.02380952380952
Meloidogyne,common species,42,174.28571428571428
Xiphinema,Xiphinema non,42,23.595238095238095
Meloidogyne,are limited,42,175.57142857142858
Meloidogyne,in Europe,42,175.04761904761904
Meloidogyne,as well,42,47.57142857142857
Xiphinema,the new,42,14.047619047619047
Meloidogyne,was the,42,95.19047619047619
Pratylenchus,lesion nematode,42,26.261904761904763
Pratylenchus,and a,42,48.666666666666664
Meloidogyne,such as,41,33.68292682926829
Rotylenchus,rRNA genes,41,14.170731707317072
Meloidogyne,southern Europe,41,179.7560975609756
Longidorus,the first,41,8.585365853658537
Heterodera,on the,41,115.07317073170732
Meloidogyne,widely used,41,177.70731707317074
Meloidogyne,the application,41,179.3170731707317
Xiphinema,group species,41,34.8780487804878
Meloidogyne,The results,41,60.97560975609756
Pratylenchus,by a,41,94.21951219512195
Meloidogyne,in glasshouses,40,182.0
Meloidogyne,breeding and,40,182.0
Heterodera,for the,40,99.025
Meloidogyne,cooler climates,40,182.0
Rotylenchus,by a,40,25.425
Meloidogyne,significantly in,40,182.0
Longidorus,lip region,40,8.225
Meloidogyne,currently described,40,182.0
Meloidogyne,different management,40,182.0
Meloidogyne,but resistance,40,182.0
Meloidogyne,south and,40,182.0
Meloidogyne,of methyl,40,182.0
Meloidogyne,the continent,40,182.0
Meloidogyne,highly aggressive,40,182.0
Meloidogyne,the wide,40,182.0
Meloidogyne,as dispersible,40,182.0
Meloidogyne,their prevalence,40,182.0
Meloidogyne,breaking populations,40,182.0
Meloidogyne,in warmer,40,182.0
Meloidogyne,incognita are,40,182.0
Meloidogyne,bromide and,40,182.0
Meloidogyne,are increasingly,40,182.0
Meloidogyne,Possible crop,40,182.0
Meloidogyne,obligate parasitic,40,182.0
Meloidogyne,of a,40,82.175
Meloidogyne,imply the,40,182.0
Meloidogyne,application in,40,182.0
Meloidogyne,much attention,40,182.0
Meloidogyne,in Germany,40,182.0
Meloidogyne,important species,40,182.0
Meloidogyne,The egg,40,182.0
Meloidogyne,of biofumigation,40,182.0
Meloidogyne,temperate and,40,182.0
Meloidogyne,and subject,40,182.0
Meloidogyne,south Europe,40,182.0
Meloidogyne,strategies in,40,182.0
Meloidogyne,quarantine organisms,40,182.0
Bursaphelenchus,and the,40,63.7
Meloidogyne,north Europe,40,182.0
Meloidogyne,the EU,40,182.0
Meloidogyne,The banning,40,182.0
Meloidogyne,granules for,40,182.0
Meloidogyne,gene of,40,182.0
Meloidogyne,Morphological identification,40,182.0
Meloidogyne,have increased,40,182.0
Meloidogyne,groups have,40,182.0
Meloidogyne,tomato is,40,182.0
Bursaphelenchus,of B,40,107.7
Meloidogyne,to resistance,40,182.0
Meloidogyne,to regulations,40,182.0
Meloidogyne,Differences between,40,182.0
Meloidogyne,many research,40,182.0
Meloidogyne,In Europe,40,182.0
Meloidogyne,Intensive research,40,182.0
Meloidogyne,been added,40,182.0
Meloidogyne,been developing,40,182.0
Meloidogyne,tropical Meloidogyne,40,182.0
Meloidogyne,javanica have,40,182.0
Meloidogyne,bacterium Pasteuria,40,182.0
Pratylenchus,to the,40,63.825
Meloidogyne,European research,40,182.0
Meloidogyne,EPPO alert,40,182.0
Meloidogyne,has paid,40,182.0
Meloidogyne,show that,40,138.85
Meloidogyne,other fumigant,40,182.0
Meloidogyne,on tomato,40,76.0
Meloidogyne,is commercialised,40,182.0
Meloidogyne,is difficult,40,182.0
Meloidogyne,is conducted,40,182.0
Meloidogyne,restrictions on,40,182.0
Meloidogyne,pesticides in,40,182.0
Meloidogyne,rotations for,40,182.0
Meloidogyne,and applied,40,182.0
Meloidogyne,parasitising fungus,40,182.0
Meloidogyne,for identification,40,182.0
Meloidogyne,conditions of,40,182.0
Meloidogyne,fallax are,40,182.0
Meloidogyne,enterolobii has,40,182.0
Heterodera,that the,39,78.0
Xiphinema,identification codes,39,7.923076923076923
Heterodera,Heterodera glycines,39,157.15384615384616
Bursaphelenchus,from the,39,595.6153846153846
Rotylenchus,hemispherical lip,39,26.897435897435898
Meloidogyne,were used,39,117.35897435897436
Xiphinema,expansion regions,39,30.743589743589745
Meloidogyne,in roots,39,106.07692307692308
Longidorus,of L,39,10.35897435897436
Meloidogyne,in plants,39,53.205128205128204
Heterodera,cyst nematode,39,97.56410256410257
Rotylenchus,species and,39,27.564102564102566
Pratylenchus,species is,38,24.0
Trichodorus,of the,38,6.7368421052631575
Meloidogyne,days after,38,78.39473684210526
Rotylenchus,and R,38,15.210526315789474
Meloidogyne,is described,38,18.05263157894737
Longidorus,from the,38,11.157894736842104
Xiphinema,and a,38,11.631578947368421
Tylenchorhynchus,of the,38,12.842105263157896
Xiphinema,rRNA and,38,30.55263157894737
Pratylenchus,based on,38,22.44736842105263
Xiphinema,characterized by,38,19.289473684210527
Radopholus,of the,37,379.1621621621622
Pratylenchus,neglectus and,37,34.83783783783784
Meloidogyne,in both,37,85.62162162162163
Xiphinema,lip region,37,13.162162162162161
Meloidogyne,during the,37,54.108108108108105
Meloidogyne,species of,37,49.945945945945944
Xiphinema,to X,37,23.54054054054054
Meloidogyne,well as,37,38.810810810810814
Xiphinema,molecular data,37,21.216216216216218
Heterodera,of a,37,140.78378378378378
Pratylenchus,from the,37,27.783783783783782
Meloidogyne,number of,37,68.83783783783784
Meloidogyne,by M,37,132.8108108108108
Longidorus,guide ring,36,6.055555555555555
Heterodera,soybean,36,139.08333333333334
Aphelenchoides,in the,36,14.833333333333334
Meloidogyne,that the,36,99.80555555555556
Xiphinema,separated from,36,11.36111111111111
Rotylenchus,is characterised,36,10.472222222222221
Meloidogyne,coffee,36,39.30555555555556
Pratylenchus,wheat,36,73.25
Aphelenchoides,to the,36,9.416666666666666
Pratylenchus,with P,36,59.861111111111114
Xiphinema,parasitic nematodes,36,181.13888888888889
Xiphinema,Xiphinema adenohystherum,36,30.0
Xiphinema,The species,35,28.228571428571428
Globodera,Globodera rostochiensis,35,100.57142857142857
Xiphinema,with molecular,35,25.37142857142857
Rotylenchus,in the,35,29.085714285714285
Pratylenchus,The results,35,40.114285714285714
Meloidogyne,may be,35,258.3142857142857
Meloidogyne,identification of,35,88.62857142857143
Meloidogyne,for their,35,99.57142857142857
Xiphinema,and one,35,25.37142857142857
Meloidogyne,showed that,35,67.71428571428571
Xiphinema,sequences of,35,10.485714285714286
Meloidogyne,the plant,35,64.97142857142858
Xiphinema,rhizosphere of,35,12.2
Rotylenchus,is characterized,35,29.37142857142857
Longidorus,Longidorus species,35,8.885714285714286
Xiphinema,Molecular characterisation,34,32.411764705882355
Xiphinema,presence of,34,19.176470588235293
Pratylenchus,Pratylenchus spp,34,32.970588235294116
Meloidogyne,and a,34,260.2647058823529
Xiphinema,and illustrated,34,7.823529411764706
Meloidogyne,it is,34,278.8529411764706
Xiphinema,The genus,34,26.941176470588236
Meloidogyne,be the,34,287.7352941176471
Rotylenchus,of R,34,33.088235294117645
Rotylenchus,parasitic nematodes,34,27.794117647058822
Xiphinema,to Xiphinema,34,26.08823529411765
Xiphinema,the genus,33,24.848484848484848
Xiphinema,with other,33,19.060606060606062
Rotylenchus,stylet length,33,13.212121212121213
Longidorus,based on,33,18.151515151515152
Bursaphelenchus,for the,33,27.545454545454547
Meloidogyne,to a,33,123.42424242424242
Pratylenchus,of these,33,37.90909090909091
Heterodera,stage juveniles,33,112.0
Aphelenchoides,body length,33,10.454545454545455
Scutellonema,of the,33,11.545454545454545
Rotylenchus,female tail,33,27.636363636363637
Meloidogyne,incognita is,33,321.27272727272725
Aphelenchoides,caudal papillae,33,10.0
Aphelenchoides,new species,33,9.727272727272727
Pratylenchus,by the,33,21.09090909090909
Xiphinema,southern Spain,32,36.96875
Rotylenchus,to anus,32,28.625
Meloidogyne,associated with,32,134.21875
Meloidogyne,majority of,32,314.375
Rotylenchus,and a,32,32.0625
Xiphinema,morphologically close,32,39.125
Meloidogyne,the highest,32,49.4375
Aphelenchoides,is described,32,11.59375
Xiphinema,and Bayesian,32,36.15625
Meloidogyne,and Meloidogyne,32,68.25
Meloidogyne,root galling,32,78.3125
Meloidogyne,by a,32,293.6875
Meloidogyne,of this,32,150.71875
Pratylenchus,on the,32,28.125
Pratylenchus,characterised by,32,21.46875
Longidorus,of Longidorus,32,18.4375
Meloidogyne,root system,31,119.38709677419355
Xiphinema,and phylogenetic,31,27.70967741935484
Pratylenchus,lip region,31,23.06451612903226
Longidorus,new species,31,18.032258064516128
Pratylenchus,used to,31,74.74193548387096
Longidorus,to the,31,9.161290322580646
Heterodera,Heterodera schachtii,31,123.6774193548387
Rotylenchus,phylogenetic analysis,31,16.451612903225808
Xiphinema,morphological and,31,25.193548387096776
Pratylenchus,such as,31,73.29032258064517
Xiphinema,ribosomal RNA,31,31.06451612903226
Longidorus,in the,31,10.67741935483871
Pratylenchus,sequences of,31,22.35483870967742
Bursaphelenchus,of this,31,831.9354838709677
Meloidogyne,to develop,30,202.96666666666667
Meloidogyne,is an,30,83.56666666666666
Aphelenchoides,based on,30,254.0
Globodera,to G,30,113.1
Xiphinema,tail shape,30,23.833333333333332
Heterodera,the first,30,33.43333333333333
Meloidogyne,and in,30,75.43333333333334
Meloidogyne,regulated in,30,115.96666666666667
Pratylenchus,The new,30,20.7
Longidorus,is described,30,6.966666666666667
Rotylenchus,from the,30,30.333333333333332
Xiphinema,polytomous key,30,8.666666666666666
Longidorus,and the,30,9.8
Meloidogyne,pattern of,30,70.76666666666667
Xiphinema,and morphometrical,30,28.8
Meloidogyne,significantly reduced,30,68.7
Meloidogyne,from other,30,14.6
Bursaphelenchus,is described,30,19.066666666666666
Meloidogyne,the roots,30,102.9
Meloidogyne,and plant,30,79.56666666666666
Pratylenchus,with four,30,17.433333333333334
Pratylenchus,confirmed the,30,22.533333333333335
Pratylenchus,for P,29,42.44827586206897
Pratylenchus,roots of,29,15.310344827586206
Pratylenchus,for the,29,53.241379310344826
Rotylenchus,as two,29,32.13793103448276
Meloidogyne,for M,29,69.13793103448276
Rotylenchus,rRNA gene,29,36.89655172413793
Pratylenchus,of this,29,108.93103448275862
Xiphinema,species belongs,29,9.89655172413793
Xiphinema,in some,29,30.586206896551722
Aphelenchoides,Aphelenchoides species,29,10.655172413793103
Rotylenchus,expansion segments,29,37.310344827586206
Xiphinema,from which,29,26.79310344827586
Rotylenchus,analysis of,29,31.551724137931036
Bursaphelenchus,to the,29,99.27586206896552
Meloidogyne,effect of,29,39.03448275862069
Meloidogyne,effect on,29,115.17241379310344
Meloidogyne,which are,29,120.34482758620689
Meloidogyne,which is,29,42.13793103448276
Pratylenchus,from all,29,71.13793103448276
Meloidogyne,closely related,29,317.9655172413793
Meloidogyne,the host,29,115.3103448275862
Meloidogyne,the number,29,76.34482758620689
Bursaphelenchus,the pine,29,778.551724137931
Tylenchorhynchus,in the,29,19.75862068965517
Meloidogyne,suggested that,28,308.75
Meloidogyne,stage juvenile,28,32.785714285714285
Meloidogyne,structure of,28,46.42857142857143
Xiphinema,We developed,28,43.42857142857143
Xiphinema,rounded tail,28,27.964285714285715
Xiphinema,data from,28,30.142857142857142
Xiphinema,identified as,28,43.42857142857143
Aphelenchoides,species belongs,28,8.642857142857142
Meloidogyne,to determine,28,41.857142857142854
Meloidogyne,to control,28,76.60714285714286
Meloidogyne,It was,28,54.5
Meloidogyne,The expression,28,112.57142857142857
Longidorus,the rhizosphere,28,12.428571428571429
Meloidogyne,the early,28,197.17857142857142
Meloidogyne,was found,28,56.785714285714285
Aphelenchoides,The female,28,10.357142857142858
Xiphinema,molecular analyses,28,23.392857142857142
Longidorus,expansion segments,28,22.0
Meloidogyne,but there,28,313.57142857142856
Rotylenchus,of phylogenetic,28,32.5
Meloidogyne,In conclusion,28,83.42857142857143
Longidorus,and illustrated,28,7.035714285714286
Pratylenchus,did not,28,26.714285714285715
Xiphinema,and two,28,15.321428571428571
Pratylenchus,vulnus and,27,93.22222222222223
Xiphinema,morphometrical studies,27,40.18518518518518
Heterodera,and a,27,128.4814814814815
Pratylenchus,phylogenetic analysis,27,21.555555555555557
Heterodera,nematode species,27,187.25925925925927
Meloidogyne,the other,27,46.51851851851852
Pratylenchus,thornei and,27,49.44444444444444
Xiphinema,two equally,27,6.962962962962963
Meloidogyne,suppression of,27,100.33333333333333
Pratylenchus,soybean,27,16.11111111111111
Xiphinema,uterine differentiation,27,29.185185185185187
Xiphinema,in Xiphinema,27,26.0
Aphelenchoides,samples of,27,7.666666666666667
Helicotylenchus,in the,27,32.81481481481482
Xiphinema,for the,27,22.51851851851852
Longidorus,by the,27,7.444444444444445
Aphelenchoides,species is,27,10.444444444444445
Meloidogyne,the first,27,181.7037037037037
Meloidogyne,and that,27,140.8148148148148
Meloidogyne,Pasteuria penetrans,27,330.0
Aphelenchoides,category of,27,7.888888888888889
Pratylenchus,Pratylenchus thornei,27,53.666666666666664
Meloidogyne,of resistance,27,123.85185185185185
Meloidogyne,gene expression,27,88.22222222222223
Pratylenchus,could be,26,78.23076923076923
Rotylenchus,tail with,26,9.384615384615385
Xiphinema,The results,26,27.153846153846153
Pratylenchus,and ITS,26,23.346153846153847
Meloidogyne,evidence that,26,329.2307692307692
Meloidogyne,NPs was,26,38.92307692307692
Heterodera,to a,26,176.57692307692307
Rotylenchus,and other,26,40.80769230769231
Meloidogyne,in two,26,36.57692307692308
Aphelenchoides,and the,26,10.923076923076923
Rotylenchus,confirmed the,26,11.923076923076923
Xiphinema,given for,26,11.615384615384615
Heterodera,is a,26,164.30769230769232
Helicotylenchus,of the,26,15.461538461538462
Meloidogyne,effective against,26,331.65384615384613
Meloidogyne,was observed,26,66.65384615384616
Meloidogyne,was used,26,126.0
Bursaphelenchus,parasitic nematodes,26,949.5384615384615
Meloidogyne,isolated from,26,91.23076923076923
Rotylenchus,the genus,26,16.26923076923077
Rotylenchus,truncate lip,26,15.5
Xiphinema,ectoparasitic nematodes,26,27.307692307692307
Meloidogyne,the M,26,51.53846153846154
Meloidogyne,were found,26,50.19230769230769
Hemicycliophora,of the,26,7.0
Meloidogyne,and their,26,96.07692307692308
Rotylenchus,species differentiation,26,11.923076923076923
Meloidogyne,parasitic nematode,25,99.52
Globodera,and the,25,173.44
Pratylenchus,was also,25,124.12
Meloidogyne,economically important,25,177.68
Xiphinema,morphometric and,25,8.68
Xiphinema,phylogenetic analyses,25,29.56
Xiphinema,nematode species,25,24.52
Aphelenchoides,and illustrated,25,12.32
Rotylenchus,to species,25,35.56
Meloidogyne,treated with,25,68.56
Xiphinema,internal transcribed,25,26.04
Meloidogyne,but the,25,67.08
Xiphinema,and four,25,8.84
Rotylenchus,magnus jaeni,25,35.56
Rotylenchus,rRNA and,25,35.72
Meloidogyne,important in,25,393.64
Heterodera,of Heterodera,25,118.84
Xiphinema,among these,25,45.64
Xiphinema,This is,25,27.52
Heterodera,cyst nematodes,25,142.36
Pratylenchus,nematode species,25,93.6
Xiphinema,The polytomous,25,8.44
Pratylenchus,it was,25,81.48
Rotylenchus,genus Rotylenchus,25,35.0
Meloidogyne,as the,25,52.96
Meloidogyne,at a,25,108.56
Longidorus,and Longidorus,25,21.8
Xiphinema,the combination,25,26.8
Meloidogyne,We have,25,217.36
Meloidogyne,This study,25,58.88
Meloidogyne,females and,25,58.76
Xiphinema,junior synonym,25,12.48
Meloidogyne,development of,25,192.12
Pratylenchus,Pratylenchus brachyurus,25,21.72
Xiphinema,are given,24,11.791666666666666
Xiphinema,the X,24,20.458333333333332
Meloidogyne,reduction in,24,40.875
Meloidogyne,the development,24,140.91666666666666
Rotylenchus,family Hoplolaimidae,24,36.25
Xiphinema,population of,24,4.958333333333333
Meloidogyne,up to,24,81.91666666666667
Helicotylenchus,parasitic nematodes,24,24.333333333333332
Heterodera,due to,24,115.33333333333333
Globodera,nematode Globodera,24,197.91666666666666
Meloidogyne,was also,24,93.04166666666667
Rotylenchus,is described,24,14.833333333333334
Pratylenchus,The rDNA,24,87.58333333333333
Meloidogyne,is required,24,355.0
Aphelenchoides,pore is,24,10.5
Xiphinema,absence of,24,26.0
Scutellonema,and the,24,9.125
Aphelenchoides,and a,24,10.0
Xiphinema,sphaerocephalum were,24,30.666666666666668
Meloidogyne,suggests that,24,77.66666666666667
Meloidogyne,were significantly,24,65.08333333333333
Aphelenchoides,tail is,24,8.875
Rotylenchus,matrix code,24,36.25
Rotylenchus,magnus and,24,36.75
Rotylenchus,of plant,24,37.166666666666664
Pratylenchus,detected in,24,78.04166666666667
Xiphinema,the rhizosphere,24,26.416666666666668
Meloidogyne,hosts and,24,354.3333333333333
Meloidogyne,was investigated,24,79.75
Anguina,of the,24,19.958333333333332
Meloidogyne,against M,24,81.16666666666667
Xiphinema,relationships of,24,26.875
Xiphinema,juvenile developmental,24,6.375
Xiphinema,Longidorus and,24,33.708333333333336
Hoplolaimus,of the,24,9.083333333333334
Meloidogyne,were not,24,36.916666666666664
Aphelenchoides,The stylet,24,10.25
Aphelenchoides,species has,24,12.125
Rotylenchus,and in,24,36.541666666666664
Rotylenchus,described and,24,6.541666666666667
Longidorus,and a,24,8.0
Xiphinema,Xiphinema hispidum,24,40.333333333333336
Xiphinema,associated with,24,14.083333333333334
Meloidogyne,In contrast,24,228.04166666666666
Xiphinema,pyrenaicum and,23,31.91304347826087
Meloidogyne,range of,23,207.7391304347826
Meloidogyne,plants and,23,163.04347826086956
Pratylenchus,with a,23,11.391304347826088
Xiphinema,species Xiphinema,23,29.130434782608695
Bursaphelenchus,the new,23,21.652173913043477
Pratylenchus,wide range,23,100.43478260869566
Meloidogyne,the field,23,374.30434782608694
Xiphinema,The occurrence,23,33.0
Rotylenchulus,of the,23,544.8260869565217
Ditylenchus,in the,23,30.391304347826086
Meloidogyne,indicate that,23,36.56521739130435
Rotylenchus,close relationship,23,13.956521739130435
Xiphinema,oxidase subunit,23,8.26086956521739
Xiphinema,new insight,23,30.695652173913043
Meloidogyne,Based on,23,38.34782608695652
Meloidogyne,reduced the,23,81.17391304347827
Meloidogyne,but not,23,374.4347826086956
Xiphinema,belonging to,23,19.73913043478261
Xiphinema,is a,23,33.17391304347826
Pratylenchus,the genus,23,89.52173913043478
Pratylenchus,the presence,23,28.565217391304348
Xiphinema,the first,23,37.43478260869565
Xiphinema,developed genital,23,6.608695652173913
Rotylenchus,the first,23,14.173913043478262
Pratylenchus,in a,23,65.95652173913044
Meloidogyne,the nematodes,23,82.43478260869566
Xiphinema,of several,23,36.391304347826086
Rotylenchus,the sequences,23,16.782608695652176
Rotylenchus,with R,23,13.956521739130435
Xiphinema,from X,23,7.695652173913044
Meloidogyne,compared with,23,88.65217391304348
Meloidogyne,together with,23,22.652173913043477
Xiphinema,of morphospecies,23,28.782608695652176
Meloidogyne,expression of,23,99.91304347826087
Bursaphelenchus,species is,23,18.08695652173913
Pratylenchus,at the,23,78.82608695652173
Meloidogyne,Host resistance,23,372.17391304347825
Meloidogyne,the males,23,56.78260869565217
Xiphinema,characterised by,22,10.590909090909092
Pratylenchus,species with,22,93.72727272727273
Meloidogyne,were conducted,22,60.90909090909091
Heterodera,wheat,22,141.72727272727272
Meloidogyne,found in,22,106.63636363636364
Meloidogyne,while the,22,25.272727272727273
Trichodorus,in the,22,13.0
Pratylenchus,new species,22,16.772727272727273
Pratylenchus,the nematode,22,24.181818181818183
Xiphinema,Xiphinema constitutes,22,30.181818181818183
Hirschmanniella,of the,22,30.681818181818183
Meloidogyne,of two,22,72.45454545454545
Xiphinema,and maximum,22,27.90909090909091
Pratylenchus,in soil,22,47.72727272727273
Meloidogyne,found to,22,75.9090909090909
Meloidogyne,they are,22,388.1818181818182
Meloidogyne,induced in,22,131.72727272727272
Meloidogyne,under greenhouse,22,92.27272727272727
Xiphinema,species from,22,29.272727272727273
Meloidogyne,mode of,22,125.45454545454545
Rotylenchus,the body,22,16.90909090909091
Meloidogyne,this study,22,61.5
Meloidogyne,of second,22,34.18181818181818
Longidorus,the genus,22,23.045454545454547
Heterodera,have been,22,196.6818181818182
Bursaphelenchus,The new,22,16.227272727272727
Meloidogyne,were identified,22,148.4090909090909
Pratylenchus,combination of,22,95.5
Pratylenchus,present in,22,48.90909090909091
Xiphinema,morphological characters,22,31.40909090909091
Rotylenchus,body without,22,16.90909090909091
Xiphinema,organ in,22,8.136363636363637
Pratylenchus,Population densities,22,42.40909090909091
Criconema,and Hemicriconemoides,22,6.0
Rotylenchus,those of,22,39.5
Heterodera,the use,22,204.86363636363637
Meloidogyne,was shown,22,97.18181818181819
Meloidogyne,incognita in,22,91.68181818181819
Globodera,stage juveniles,22,45.22727272727273
Xiphinema,species and,22,38.95454545454545
Xiphinema,americanum group,22,27.863636363636363
Pratylenchus,were identified,22,33.68181818181818
Xiphinema,nuclear ribosomal,22,36.40909090909091
Pratylenchus,and molecular,22,18.727272727272727
Rotylenchus,gene sequences,22,39.36363636363637
Pratylenchus,The species,22,35.04545454545455
Rotylenchus,longitudinal striations,22,16.90909090909091
Meloidogyne,has been,22,73.63636363636364
Bursaphelenchus,by the,22,42.04545454545455
Meloidogyne,perineal pattern,22,23.136363636363637
