Year,Category,Normalized_Count
2011,Yield Loss,0.03944315545243619
2011,Economic Damage,0.34106728538283065
2011,Management,0.839907192575406
2011,Resistance,0.691415313225058
2012,Yield Loss,0.04819277108433735
2012,Economic Damage,0.41365461847389556
2012,Management,0.8634538152610441
2012,Resistance,0.7248995983935743
2013,Yield Loss,0.029906542056074768
2013,Economic Damage,0.3925233644859813
2013,Management,0.8018691588785046
2013,Resistance,0.411214953271028
2014,Yield Loss,0.06826568265682657
2014,Economic Damage,0.488929889298893
2014,Management,0.9520295202952029
2014,Resistance,0.7453874538745388
2015,Yield Loss,0.07297830374753451
2015,Economic Damage,0.4280078895463511
2015,Management,0.9250493096646942
2015,Resistance,0.6291913214990138
2016,Yield Loss,0.058419243986254296
2016,Economic Damage,0.359106529209622
2016,Management,0.9536082474226805
2016,Resistance,0.7319587628865979
2017,Yield Loss,0.06688417618270799
2017,Economic Damage,0.3915171288743883
2017,Management,0.9200652528548124
2017,Resistance,0.8466557911908646
2018,Yield Loss,0.09105431309904154
2018,Economic Damage,0.45686900958466453
2018,Management,1.0143769968051117
2018,Resistance,0.7571884984025559
2019,Yield Loss,0.06823821339950373
2019,Economic Damage,0.413151364764268
2019,Management,1.1079404466501241
2019,Resistance,0.707196029776675
2020,Yield Loss,0.07855626326963906
2020,Economic Damage,0.43842887473460723
2020,Management,1.1443736730360934
2020,Resistance,0.7144373673036093
2021,Yield Loss,0.07801418439716312
2021,Economic Damage,0.5309017223910841
2021,Management,1.14387031408308
2021,Resistance,0.7700101317122594
2022,Yield Loss,0.06755629691409508
2022,Economic Damage,0.4737281067556297
2022,Management,1.1751459549624688
2022,Resistance,0.5446205170975813
2023,Yield Loss,0.07653910149750416
2023,Economic Damage,0.6239600665557404
2023,Management,1.3394342762063227
2023,Resistance,0.6522462562396006
