Year,Genus,Total_Count,N_Records
1989,Xiphinema,7,6
1990,Anguina,1,1
1990,Heterodera,1,1
1990,Paratrichodorus,1,1
1990,Radopholus,1,1
1990,Tylenchulus,3,2
1990,Xiphinema,4,4
1991,Belonolaimus,1,1
1991,Globodera,1,1
1991,Helicotylenchus,2,2
1991,Meloidogyne,15,14
1991,Mesocriconema,4,2
1991,Pratylenchus,8,8
1991,Xiphinema,7,5
1992,Anguina,1,1
1992,Aphelenchoides,1,1
1992,Heterodera,3,3
1992,Hirschmanniella,2,2
1992,Hoplolaimus,2,2
1992,Longidorus,2,2
1992,Meloidogyne,4,4
1992,Mesocriconema,2,2
1992,Pratylenchus,1,1
1992,Scutellonema,1,1
1992,Trichodorus,4,4
1992,Tylenchorhynchus,2,2
1993,Bursaphelenchus,2,1
1993,Criconema,1,1
1993,Ditylenchus,12,4
1993,Globodera,4,4
1993,Heterodera,3,3
1993,Hoplolaimus,1,1
1993,Meloidogyne,11,5
1993,Pratylenchus,1,1
1993,Rotylenchulus,2,2
1993,Tylenchorhynchus,3,2
1993,Xiphinema,22,21
1994,Globodera,1,1
1994,Hoplolaimus,1,1
1994,Longidorus,1,1
1994,Rotylenchus,1,1
1994,Trichodorus,1,1
1995,Anguina,1,1
1995,Ditylenchus,1,1
1995,Globodera,7,4
1995,Helicotylenchus,1,1
1995,Heterodera,3,3
1995,Longidorus,3,3
1995,Meloidogyne,5,3
1995,Pratylenchus,5,3
1995,Xiphinema,1,1
1996,Longidorus,11,7
1996,Meloidogyne,2,2
1996,Mesocriconema,4,4
1996,Paratrichodorus,1,1
1996,Rotylenchulus,14,4
1996,Rotylenchus,2,1
1996,Scutellonema,1,1
1996,Tylenchorhynchus,3,3
1996,Tylenchulus,1,1
1996,Xiphinema,14,13
1997,Belonolaimus,1,1
1997,Criconema,15,15
1997,Criconemoides,2,2
1997,Globodera,2,2
1997,Hemicycliophora,4,2
1997,Heterodera,8,8
1997,Hirschmanniella,3,3
1997,Longidorus,13,13
1997,Meloidogyne,8,6
1997,Mesocriconema,1,1
1997,Nacobbus,1,1
1997,Pratylenchus,10,7
1997,Tylenchulus,6,1
1997,Xiphinema,1,1
1998,Bursaphelenchus,1,1
1998,Globodera,4,4
1998,Heterodera,7,7
1998,Hoplolaimus,1,1
1998,Longidorus,1,1
1998,Meloidogyne,7,7
1998,Pratylenchus,1,1
1998,Radopholus,2,2
1998,Rotylenchulus,1,1
1998,Scutellonema,2,2
1998,Xiphinema,1,1
1999,Aphelenchoides,2,2
1999,Bursaphelenchus,3,2
1999,Ditylenchus,6,2
1999,Globodera,1,1
1999,Helicotylenchus,3,2
1999,Hemicycliophora,6,3
1999,Heterodera,5,2
1999,Longidorus,1,1
1999,Meloidogyne,7,7
1999,Mesocriconema,4,1
1999,Paratrichodorus,2,2
1999,Pratylenchus,6,4
1999,Rotylenchus,2,2
1999,Scutellonema,1,1
1999,Trichodorus,6,3
1999,Tylenchorhynchus,1,1
1999,Xiphinema,3,1
2000,Bursaphelenchus,10,3
2000,Criconema,2,2
2000,Globodera,6,6
2000,Helicotylenchus,2,2
2000,Hemicycliophora,6,2
2000,Hirschmanniella,2,1
2000,Hoplolaimus,3,3
2000,Longidorus,3,3
2000,Meloidodera,2,1
2000,Meloidogyne,55,15
2000,Mesocriconema,2,2
2000,Pratylenchus,44,18
2000,Rotylenchulus,3,3
2000,Rotylenchus,8,4
2000,Xiphinema,5,3
2001,Anguina,10,7
2001,Aphelenchoides,2,2
2001,Bursaphelenchus,3,3
2001,Criconema,2,2
2001,Helicotylenchus,2,1
2001,Hemicycliophora,1,1
2001,Hirschmanniella,1,1
2001,Hoplolaimus,3,3
2001,Longidorus,6,6
2001,Meloidogyne,27,20
2001,Mesocriconema,3,3
2001,Pratylenchus,7,6
2001,Radopholus,6,3
2001,Rotylenchulus,2,2
2001,Rotylenchus,1,1
2001,Scutellonema,4,4
2001,Trichodorus,1,1
2001,Tylenchorhynchus,4,4
2001,Xiphinema,9,9
2002,Anguina,7,7
2002,Bursaphelenchus,21,10
2002,Dolichodorus,1,1
2002,Globodera,2,2
2002,Helicotylenchus,5,4
2002,Heterodera,39,16
2002,Meloidodera,1,1
2002,Meloidogyne,13,11
2002,Paratrichodorus,1,1
2002,Pratylenchus,1,1
2002,Rotylenchus,1,1
2002,Trichodorus,4,4
2003,Belonolaimus,2,2
2003,Bursaphelenchus,2,1
2003,Ditylenchus,3,3
2003,Heterodera,9,9
2003,Hirschmanniella,2,2
2003,Hoplolaimus,1,1
2003,Longidorus,10,5
2003,Meloidogyne,1,1
2003,Nacobbus,1,1
2003,Paratrichodorus,6,3
2003,Rotylenchulus,1,1
2003,Xiphinema,1,1
2004,Anguina,10,2
2004,Ditylenchus,3,3
2004,Globodera,10,7
2004,Heterodera,3,3
2004,Longidorus,10,6
2004,Meloidogyne,5,4
2004,Pratylenchus,1,1
2004,Radopholus,7,3
2004,Tylenchorhynchus,1,1
2004,Tylenchulus,3,3
2004,Xiphinema,15,12
2005,Anguina,8,5
2005,Globodera,1,1
2005,Helicotylenchus,2,2
2005,Hirschmanniella,3,2
2005,Hoplolaimus,1,1
2005,Longidorus,11,7
2005,Meloidogyne,8,8
2005,Mesocriconema,1,1
2005,Paratrichodorus,7,4
2005,Scutellonema,2,2
2005,Trichodorus,1,1
2005,Xiphinema,7,3
2006,Aphelenchoides,1,1
2006,Bursaphelenchus,9,4
2006,Ditylenchus,1,1
2006,Heterodera,1,1
2006,Hoplolaimus,2,2
2006,Meloidogyne,19,18
2006,Paratrichodorus,2,2
2006,Pratylenchus,11,11
2006,Radopholus,17,9
2006,Rotylenchus,1,1
2006,Scutellonema,1,1
2006,Trichodorus,1,1
2006,Tylenchorhynchus,2,1
2006,Xiphinema,8,8
2007,Anguina,3,3
2007,Aphelenchoides,2,2
2007,Bursaphelenchus,6,4
2007,Dolichodorus,6,3
2007,Helicotylenchus,4,4
2007,Heterodera,2,1
2007,Longidorus,5,5
2007,Meloidogyne,2,2
2007,Nacobbus,1,1
2007,Paratrichodorus,1,1
2007,Pratylenchus,8,7
2007,Rotylenchulus,7,5
2007,Tylenchorhynchus,1,1
2007,Tylenchulus,1,1
2007,Xiphinema,4,4
2008,Bursaphelenchus,7,4
2008,Ditylenchus,6,4
2008,Dolichodorus,3,3
2008,Globodera,4,2
2008,Heterodera,7,6
2008,Hoplolaimus,1,1
2008,Longidorus,2,2
2008,Meloidogyne,36,19
2008,Paratrichodorus,1,1
2008,Pratylenchus,13,12
2008,Rotylenchus,27,23
2008,Trichodorus,3,3
2008,Xiphinema,8,5
2009,Anguina,1,1
2009,Bursaphelenchus,1,1
2009,Heterodera,2,2
2009,Hirschmanniella,1,1
2009,Hoplolaimus,3,3
2009,Longidorus,6,2
2009,Meloidogyne,16,12
2009,Pratylenchus,12,10
2009,Trichodorus,2,2
2009,Xiphinema,26,13
2010,Aphelenchoides,6,6
2010,Belonolaimus,2,2
2010,Criconema,1,1
2010,Ditylenchus,4,4
2010,Hemicycliophora,3,3
2010,Heterodera,20,14
2010,Hirschmanniella,1,1
2010,Hoplolaimus,2,1
2010,Meloidogyne,46,32
2010,Nacobbus,2,2
2010,Nanidorus,1,1
2010,Paratrichodorus,1,1
2010,Pratylenchus,90,33
2010,Radopholus,3,3
2010,Rotylenchulus,1,1
2010,Rotylenchus,1,1
2010,Scutellonema,4,4
2010,Trichodorus,3,2
2010,Tylenchorhynchus,2,2
2010,Xiphinema,45,22
2011,Bursaphelenchus,28,8
2011,Ditylenchus,7,7
2011,Globodera,27,15
2011,Helicotylenchus,1,1
2011,Heterodera,12,12
2011,Hoplolaimus,2,2
2011,Litylenchus,2,2
2011,Longidorus,12,12
2011,Meloidogyne,76,57
2011,Paratrichodorus,1,1
2011,Pratylenchus,28,26
2011,Rotylenchus,18,12
2011,Tylenchorhynchus,4,4
2011,Xiphinema,4,2
2012,Aphelenchoides,6,3
2012,Bursaphelenchus,2,2
2012,Criconema,13,7
2012,Globodera,17,11
2012,Helicotylenchus,2,2
2012,Hemicycliophora,4,3
2012,Heterodera,10,10
2012,Hirschmanniella,2,2
2012,Hoplolaimus,1,1
2012,Longidorus,14,10
2012,Meloidodera,2,2
2012,Meloidogyne,21,21
2012,Mesocriconema,4,4
2012,Paratrichodorus,3,1
2012,Pratylenchus,25,15
2012,Radopholus,8,5
2012,Rotylenchus,15,15
2012,Scutellonema,1,1
2012,Tylenchorhynchus,2,2
2012,Tylenchulus,10,8
2012,Xiphinema,26,17
2013,Anguina,1,1
2013,Aphelenchoides,9,9
2013,Bursaphelenchus,28,25
2013,Ditylenchus,10,8
2013,Globodera,10,5
2013,Helicotylenchus,3,3
2013,Hemicycliophora,6,3
2013,Heterodera,17,13
2013,Hirschmanniella,1,1
2013,Hoplolaimus,1,1
2013,Longidorus,9,9
2013,Meloidogyne,29,28
2013,Mesocriconema,1,1
2013,Nacobbus,3,3
2013,Pratylenchus,8,3
2013,Radopholus,10,10
2013,Rotylenchulus,11,11
2013,Rotylenchus,14,5
2013,Scutellonema,3,3
2013,Trichodorus,3,3
2013,Tylenchorhynchus,1,1
2013,Xiphinema,26,25
2014,Aphelenchoides,4,4
2014,Bursaphelenchus,11,8
2014,Criconemoides,3,3
2014,Helicotylenchus,3,3
2014,Heterodera,10,5
2014,Longidorus,5,5
2014,Meloidogyne,49,25
2014,Mesocriconema,1,1
2014,Pratylenchus,19,14
2014,Radopholus,1,1
2014,Rotylenchus,4,4
2014,Scutellonema,7,7
2014,Trichodorus,5,5
2014,Tylenchorhynchus,2,2
2014,Xiphinema,16,14
2015,Anguina,5,5
2015,Bursaphelenchus,5,5
2015,Ditylenchus,3,3
2015,Heterodera,4,4
2015,Hirschmanniella,1,1
2015,Hoplolaimus,1,1
2015,Longidorus,11,5
2015,Meloidogyne,55,29
2015,Pratylenchus,5,5
2015,Rotylenchus,25,13
2015,Trichodorus,3,3
2015,Xiphinema,12,9
2016,Anguina,13,9
2016,Aphelenchoides,9,9
2016,Bursaphelenchus,2,2
2016,Criconema,3,3
2016,Ditylenchus,7,3
2016,Globodera,9,5
2016,Heterodera,1,1
2016,Longidorus,4,4
2016,Meloidogyne,18,16
2016,Mesocriconema,6,6
2016,Pratylenchus,15,4
2016,Rotylenchulus,1,1
2016,Rotylenchus,5,3
2016,Tylenchorhynchus,1,1
2016,Xiphinema,52,36
2017,Aphelenchoides,16,16
2017,Belonolaimus,6,6
2017,Ditylenchus,6,3
2017,Globodera,10,7
2017,Helicotylenchus,1,1
2017,Heterodera,10,7
2017,Longidorus,15,11
2017,Meloidodera,4,4
2017,Meloidogyne,26,14
2017,Mesocriconema,2,2
2017,Pratylenchus,10,9
2017,Rotylenchulus,1,1
2017,Scutellonema,22,14
2017,Trichodorus,3,3
2017,Tylenchorhynchus,1,1
2017,Xiphinema,12,12
2018,Aphelenchoides,9,9
2018,Bursaphelenchus,9,8
2018,Criconema,1,1
2018,Criconemoides,5,4
2018,Ditylenchus,7,7
2018,Helicotylenchus,4,4
2018,Hemicycliophora,2,2
2018,Heterodera,4,2
2018,Hirschmanniella,5,5
2018,Longidorus,11,11
2018,Meloidogyne,21,19
2018,Mesocriconema,1,1
2018,Pratylenchus,4,4
2018,Rotylenchus,2,2
2018,Trichodorus,1,1
2018,Xiphinema,16,15
2019,Aphelenchoides,9,9
2019,Belonolaimus,3,2
2019,Bursaphelenchus,7,7
2019,Criconema,2,1
2019,Criconemoides,2,2
2019,Helicotylenchus,4,3
2019,Hemicycliophora,1,1
2019,Heterodera,1,1
2019,Hirschmanniella,5,3
2019,Hoplolaimus,7,4
2019,Litylenchus,2,1
2019,Meloidogyne,19,12
2019,Pratylenchus,20,9
2019,Radopholus,4,3
2019,Rotylenchus,30,11
2019,Scutellonema,1,1
2019,Trichodorus,1,1
2019,Tylenchorhynchus,3,3
2019,Xiphinema,26,15
2020,Anguina,3,3
2020,Aphelenchoides,2,2
2020,Belonolaimus,3,2
2020,Bursaphelenchus,18,16
2020,Criconema,2,2
2020,Ditylenchus,19,4
2020,Globodera,28,16
2020,Helicotylenchus,9,7
2020,Hemicycliophora,9,9
2020,Heterodera,39,33
2020,Hirschmanniella,3,3
2020,Hoplolaimus,1,1
2020,Litylenchus,3,2
2020,Longidorus,13,11
2020,Meloidogyne,190,114
2020,Mesocriconema,4,3
2020,Nanidorus,3,3
2020,Paratrichodorus,6,4
2020,Pratylenchus,31,27
2020,Radopholus,6,6
2020,Rotylenchulus,4,4
2020,Rotylenchus,4,3
2020,Scutellonema,1,1
2020,Trichodorus,1,1
2020,Tylenchorhynchus,20,13
2020,Tylenchulus,5,3
2020,Xiphinema,19,15
2021,2008,1,1
2021,Aphelenchoides,23,17
2021,Bursaphelenchus,38,13
2021,Criconema,1,1
2021,Ditylenchus,9,3
2021,Globodera,2,2
2021,Helicotylenchus,1,1
2021,Hemicycliophora,6,6
2021,Heterodera,7,7
2021,Hirschmanniella,1,1
2021,Hoplolaimus,3,3
2021,Longidorus,6,3
2021,Meloidogyne,26,21
2021,Mesocriconema,8,8
2021,Nacobbus,2,2
2021,Paratrichodorus,1,1
2021,Pratylenchus,25,13
2021,Rotylenchulus,3,2
2021,Rotylenchus,6,3
2021,Trichodorus,16,7
2021,Tylenchorhynchus,1,1
2021,Xiphinema,13,9
2022,Anguina,1,1
2022,Aphelenchoides,4,4
2022,Bursaphelenchus,5,5
2022,Criconema,1,1
2022,Criconemoides,1,1
2022,Ditylenchus,3,3
2022,Helicotylenchus,4,4
2022,Heterodera,14,13
2022,Hoplolaimus,3,3
2022,Litylenchus,2,1
2022,Longidorus,7,7
2022,Meloidogyne,23,11
2022,Mesocriconema,5,5
2022,Nacobbus,2,2
2022,Nanidorus,2,2
2022,Paratrichodorus,1,1
2022,Pratylenchus,12,12
2022,Radopholus,7,3
2022,Rotylenchulus,2,2
2022,Rotylenchus,8,8
2022,Scutellonema,1,1
2022,Trichodorus,3,3
2022,Tylenchorhynchus,7,7
2022,Tylenchulus,2,2
2022,Xiphinema,4,4
2023,Anguina,1,1
2023,Bursaphelenchus,3,3
2023,Ditylenchus,1,1
2023,Globodera,2,2
2023,Helicotylenchus,1,1
2023,Hemicycliophora,3,3
2023,Hoplolaimus,2,2
2023,Meloidodera,2,2
2023,Meloidogyne,1,1
2023,Mesocriconema,1,1
2023,Pratylenchus,2,1
2023,Rotylenchus,1,1
2023,Xiphinema,5,5
