Author,Total_Citations,Mean_Citations,N_Papers,N_Genera,H_Index
"Al-Raddad, Ahmad M.",33,33.0,1,1,1
"Al-Rashidi, Hayat S.",5,5.0,1,1,1
"Al-Rehiayani, S. M.",0,0.0,1,1,0
"Al-Rehiayani, Suloiman M.",6,3.0,2,1,2
"Al-Sayed, A A",10,10.0,1,1,1
"Al-Sayed, A.A.",5,5.0,1,1,1
"Al-Sayed, Al-Sayed",1,1.0,1,1,1
"Al-Shalaby, Mona",24,12.0,2,1,2
"Al-Zehebawi, Nuha A.",0,0.0,1,1,0
"Al?Jalili, A. S.",1,1.0,1,1,1
"Alaklabi, Abdullah",6,3.0,2,1,2
"Alam, M. Mashkoor",6,6.0,1,1,1
"Alamri, Saad",4,4.0,1,1,1
"Alba-Alejandre, Ignacio",24,12.0,2,1,2
"Albalawi, Marzough A",13,13.0,1,1,1
"Albrecht, Ute",174,174.0,1,1,1
"Albuquerque, Erika V.S.",6,6.0,1,1,1
"Albuquerque, Erika ValÃÂ©ria Saliba",27,27.0,1,1,1
"Albuquerque, Maria Rose Jane R.",14,14.0,1,1,1
"Alby, T",18,18.0,1,1,1
"AlcanÃÂiz, Eduard",9,9.0,1,1,1
"Alderfasi, Ali A.",12,12.0,1,1,1
Alejandro Ayala,23,7.666666666666667,3,2,2
"Alekcevetch, Jean Carlos",22,7.333333333333333,3,1,2
"Alen, Yohannes",51,25.5,2,1,2
"Alenda, Charline",53,17.666666666666668,3,1,3
"Aleshin, V. V.",13,13.0,1,1,1
"Alexander, Samuel A",19,19.0,1,1,1
"Alharbi, Asmaa Ahmed",0,0.0,1,1,0
"Ali Siddiqui, Imran",116,58.0,2,1,2
"Ali, Aamir",26,26.0,1,1,1
"Ali, Abdelhadi A. I.",6,3.0,2,1,2
"Ali, Abdelhadi A.I.",0,0.0,1,1,0
"Ali, Mohammad",31,31.0,1,1,1
"Ali, Muhammad Amjad",184,36.8,5,1,5
"Ali, Nadine",33,16.5,2,1,2
"Ali, Nasima I",76,76.0,1,1,1
"Ali, Qurban",6,3.0,2,1,2
"Ali, Ramzan",0,0.0,2,1,0
"Ali, Shawkat",76,38.0,2,1,2
"Aliramaji, Farzad",23,11.5,2,2,2
"Aliverdi, Samira",6,6.0,1,1,1
"Alizadeh, Azizollah",4,4.0,1,1,1
"Aljaafri, Weasam A R",0,0.0,1,1,0
"Aljaafri, Weasam A.R.",44,22.0,2,1,2
"Aljuaifari, Wisam A.",0,0.0,1,1,0
"Aljuboori, Firas K.",3,3.0,1,1,1
"Alkharouf, Nadim",34,34.0,1,1,1
"Alkharouf, Nadim W.",290,96.66666666666667,3,1,3
"Allaire, Suzanne E",6,3.0,2,1,2
"Allen, J. B.",11,11.0,1,1,1
"Allen, RN",1,1.0,1,1,1
"Allen, Tom W.",289,289.0,1,1,1
"Allie, Kaisar Ahmad",1,1.0,1,1,1
"Almeida, J. E. M.",33,33.0,1,1,1
"Almeida, Nayane Oliveira",2,1.0,2,1,1
"Almeida, Sheila F.",0,0.0,2,1,0
"Almeida-Silva, Fabricio",2,1.0,2,1,1
"Almohithef, Abdallah H",0,0.0,1,1,0
"Almohithef, Abdallah H.",8,8.0,1,1,1
"Almursyidi, H H",0,0.0,1,1,0
"Almutairi, Fahad M.",2,2.0,1,1,1
"AlmÃÂ¡si, ÃÂva",2,2.0,1,1,1
"Alonso, R.",5,5.0,1,1,1
"Alonso, Tales Arthur de Souza",0,0.0,1,1,0
"Alor, Nestor",1,1.0,1,1,1
"Alphey, T.J.W.",4,2.0,2,1,2
"Alshehri, Hamdan Ali",6,6.0,1,1,1
"Alston, D G",83,27.666666666666668,3,1,3
"Alston, D.G.",14,7.0,2,1,2
"Altemayer, ValÃÂ©rie",23,23.0,1,1,1
"Althobaiti, Norah A",5,5.0,1,1,1
"Althobaiti, Norah A.",5,2.5,2,1,1
"Alves de Almeida, Janaina",2,2.0,1,1,1
"Alves, Fbio R",5,5.0,1,1,1
"Alves, FÃÂ¡bio R.",1,1.0,1,1,1
"Alves, G.C.S.",10,5.0,2,1,2
"Alves, Gleina C.S.",4,4.0,1,1,1
"Alves, Gleina Costa Silva",1,1.0,1,1,1
"Alves, Marta",27,27.0,1,1,1
"Alves, Marta Salgueiro",2,2.0,1,1,1
"Alves, Paula S.",6,3.0,2,1,2
"AlÃ¢ÂÂHazmi, Ahmad S.",10,10.0,1,1,1
"Amankwa, G. A.",3,3.0,1,1,1
"Amarasena, P. G. D. S.",4,2.0,2,1,1
"Amarasinghe, L. D.",0,0.0,1,1,0
"Amarasinghe, Lalithanjalie D.",0,0.0,1,1,0
"Ami, S.",0,0.0,1,1,0
"Ami, Sulaiman",1,0.5,2,1,1
"Ami, Sulaiman N.",0,0.0,1,1,0
"Ami, Sulaiman Naif",4,2.0,2,2,2
"Amin, A. W.",0,0.0,4,2,0
"Amin, A.W.",2,2.0,1,1,1
"Amin, Amin W.",1,1.0,1,1,1
"Amin, Reza Behzadi",2,2.0,1,1,1
"Amin, W. A.",2,1.0,2,1,1
"Aminayanaba, OA",2,2.0,1,1,1
"Amini, Jahanshir",43,43.0,1,1,1
"Aminisarteshnizi, M.",1,1.0,1,1,1
"Amir, J.",7,7.0,1,1,1
"Amir-Ahmadi, Negar",8,8.0,1,1,1
"Amiri, SaÃÂ¯d",53,53.0,1,1,1
"Ammati, M",40,40.0,1,1,1
"Ammati, Mohammed",3,3.0,1,1,1
"Ammiraju, J.",81,81.0,1,1,1
"Amora, Deisy Xavier",3,3.0,1,1,1
"Amorim, Deucleiton Jardim",1,1.0,1,1,1
"Amrei, Shahrbanou Bakhshi",6,6.0,1,1,1
"Amruta, Narayanappa",10,10.0,1,1,1
"Amulu, Leonard U.",3,3.0,1,1,1
"Amulu, Leonard Uzoma",3,3.0,1,1,1
"An, Mingwei",2,1.0,2,1,1
"An, Ruisheng",8,8.0,1,1,1
"An, Yibo",1,1.0,1,1,1
Ana E. Montalvo,0,0.0,2,1,0
Anamika,1,1.0,1,1,1
"Anand, S C",39,7.8,5,1,4
"Anand, S. C.",77,9.625,8,1,5
"Anand, S.C.",7,2.3333333333333335,3,1,1
"Anastasiadis, I",1,1.0,1,1,1
"AndalÃÂ³, Vanessa",36,36.0,1,1,1
"Andersen, K.",3,3.0,1,1,1
"Andersen, S.",96,48.0,2,1,2
"Anderson, J. A. D.",20,4.0,5,1,2
"Anderson, R V",2,2.0,1,1,1
"Anderson, R. V.",32,3.2,10,6,3
"Anderson, Scott D",0,0.0,1,1,0
"Andersson, Karl-Magnus",23,23.0,1,1,1
"Andersson, S.",36,18.0,2,1,2
"Ando*, Kaori",0,0.0,1,1,0
"Ando, Kaori",43,21.5,2,1,1
"Andrade, Valter C",5,5.0,1,1,1
"Andreoglou, F.I.",22,11.0,2,1,2
"Andret-Link, Peggy",67,67.0,1,1,1
"Andrivon, Didier",0,0.0,2,1,0
"AndrÃÂ©s, M F",3,3.0,1,1,1
"AndrÃÂ©s, M. F.",31,15.5,2,2,2
"AndrÃÂ©s, M.F.",40,40.0,1,1,1
"AndrÃÂ©s, Maria Fe",193,96.5,2,2,2
"AndrÃ©s, M. F.",31,15.5,2,2,2
"Anene, Abla",6,6.0,1,1,1
"Anikwe, Joseph C.",1,1.0,1,1,1
"Anindita, D C",0,0.0,1,1,0
"Anjago, Wilfred Mabeche",13,13.0,1,1,1
"Anjali, Tamireddy",0,0.0,1,1,0
"Anjam, Muhammad Shahzad",32,8.0,4,1,2
"Anjos, Elize Francisca Mendes dos",0,0.0,1,1,0
"Ankardiansyah, Pradana Pandu",3,3.0,1,1,1
"Anke, H.",136,68.0,2,1,2
"Ansari, M.A.",8,8.0,1,1,1
"Ansari, S.",3,3.0,1,1,1
"Ansari, T.",7,7.0,1,1,1
"Ansari, Taruba",5,5.0,1,1,1
"Anter, A.",8,4.0,2,1,2
"Antes, Vanessa A.",5,5.0,1,1,1
"Anthoine, G.",9,4.5,2,1,2
"Anthoine, GÃÂ©raldine",7,7.0,1,1,1
"Anthoine, GÃ©raldine",46,46.0,1,1,1
"Antil, Sonam",36,7.2,5,1,5
"Antonova, O. Y.",8,8.0,1,1,1
"Anusree, T.",6,6.0,1,1,1
"Anver, Suhail",17,2.4285714285714284,7,1,2
"Anwar ul Haq, Muhammad",0,0.0,1,1,0
"Anwar, Muhammad Aijaz",5,5.0,1,1,1
"Anwar, S A",18,18.0,1,1,1
"Anwar, Sadfar A",12,12.0,1,1,1
"Anwar, Safdar A",4,4.0,1,1,1
"Anwar, Shahbaz",4,4.0,1,1,1
"Anyalewechi, J.A",0,0.0,1,1,0
"Anzueto, F.",43,43.0,1,1,1
"Aoudia, Hassiba",59,59.0,1,1,1
"Aparecida Godinho Mendes, Reneida",1,1.0,1,1,1
"Aparecida-Reiner, DriÃÂ©li",0,0.0,1,1,0
"Apexa, Pareek",0,0.0,1,1,0
"Appel, J A",12,12.0,1,1,1
"Aprilyani, Aprilyani",2,2.0,1,1,1
"Ara, Jehan",31,31.0,1,1,1
"AragÃÂ³n, Daniel",1,1.0,1,1,1
"Arakawa, Yoh",40,40.0,1,1,1
"ArandaÃ¢ÂÂMartinez, Almudena",37,37.0,1,1,1
"Arantes, Bruno Henrique Tondato",10,5.0,2,1,2
"Arantes, N E",3,3.0,1,1,1
"Araujo, Fernando G. de",0,0.0,1,1,0
"Araujo, M T",2,2.0,1,1,1
"Aravind, R.",108,36.0,3,2,3
"Araya, JosÃÂ© Alonso Calvo-",0,0.0,1,1,0
"Araya, M",27,9.0,3,1,3
"Araya, Tatiana Zamora",19,19.0,1,1,1
"AraÃÂºjo, Fernando Godinho de",0,0.0,1,1,0
"AraÃºjo, Fernando Godinho de",0,0.0,3,1,0
"Arboleda-Riascos, C. E.",0,0.0,1,1,0
"Arbuzova, E N",0,0.0,1,1,0
"Arbuzova, E. N.",1,1.0,1,1,1
"Arbuzova, Elena N.",0,0.0,1,1,0
"Arce, Carla C. M.",20,20.0,1,1,1
"Archidona-Yuste, Antonio",167,20.875,8,4,6
"Archidona?Yuste, Antonio",42,42.0,1,1,1
"ArchidonaÃ¢ÂÂYuste, Antonio",42,42.0,1,1,1
"Arcinas, A",3,3.0,1,1,1
"Arcinas, A.C.",1,1.0,1,1,1
"Ardakani, A. S.",2,2.0,1,1,1
"Ardakani, Abbas Salahi",47,47.0,1,1,1
"Arelli, A. P.",102,51.0,2,1,2
"Arelli, Prakash R.",177,22.125,8,1,8
"Arens, M L",5,5.0,1,1,1
"Arens, Paul",68,68.0,1,1,1
"Arevalo, Jersys",46,23.0,2,1,2
"Argentieri, Maria Pia",54,54.0,1,1,1
"Arguel, Marie-Jeanne",23,23.0,1,1,1
"Arias, MarÃÂ­a",11,5.5,2,2,2
"Arias, RenÃÂ©e S",18,18.0,1,1,1
"Arif, Ibrahim A.",4,4.0,1,1,1
"Arifin, Lutfi",3,3.0,1,1,1
"Arim, O. J.",33,33.0,1,1,1
"Arita, Lucas Yuuki",9,9.0,1,1,1
"Armstrong, Miles R",85,85.0,1,1,1
"Armstrong, Miles R.",15,15.0,1,1,1
"Arndt, M.",6,3.0,2,1,2
"Arndt, Michael",10,5.0,2,1,2
"Arnika, Przybylska",0,0.0,1,1,0
"Arntzen, F. K.",11,11.0,1,1,1
"Arntzen, Frits K.",3,3.0,1,1,1
"Arora, Deepika",6,2.0,3,1,1
"Arraes, Fabricio B. M.",1,1.0,1,1,1
"Arriola, ÃÂgor Abba",7,3.5,2,1,2
"Arshad, Usman",16,4.0,4,1,2
"Arshad, Waheed",48,48.0,1,1,1
"Arteaga, Maria BelÃÂ©n",0,0.0,2,1,0
"Arteaga, Maria BelÃ©n",0,0.0,1,1,0
"Arwiyanto, Triwidodo",1,0.3333333333333333,3,1,1
"Arya, Stuti",0,0.0,1,1,0
"Arya, Sushila",12,6.0,2,1,1
"Aryal, Sudarshan K",27,9.0,3,2,3
"Aryal, Sudarshan K.",3,3.0,1,1,1
"Asadi-Sardari, Ameneh",0,0.0,1,1,0
Asai,8,8.0,1,1,1
"Asai, E.",8,8.0,1,1,1
"Asai, Ei-ichiro",5,5.0,1,1,1
"Asamizu, Erika",12,6.0,2,1,2
"Asano, Kenji",49,24.5,2,1,2
"Asaturova, Anzhela M.",8,4.0,2,1,2
"Asgari, Mohsen",4,2.0,2,1,2
"Asghar, Muhammad Nadeem",0,0.0,1,1,0
"Asghar, Nadia",2,2.0,1,1,1
"Asghari, R.",10,5.0,2,1,2
"Ashajyothi, Mushineni",36,36.0,1,1,1
"Ashmit, K.C.",2,1.0,2,1,1
"Ashour, Ahmed",0,0.0,1,1,0
"Ashraf, Mohd. Shaikhul",51,17.0,3,1,3
"Ashrafi, Samad",92,15.333333333333334,6,1,4
"Asif, Mohd",79,13.166666666666666,6,1,5
"Askary, Tarique Hassan",5,5.0,1,1,1
"Asmus, Guilherme L.",16,5.333333333333333,3,2,1
"Asmus, Guilherme Lafourcade",15,3.75,4,2,2
"Assefa, Awraris Derbie",2,1.0,2,1,1
"Assi, Lindomar",0,0.0,1,1,0
"Assia, Fatiha Righi",0,0.0,2,1,0
"AssunÃÂ§ÃÂ£o, Mayara Castro",0,0.0,2,2,0
"Asyiah, I N",3,3.0,1,1,1
"Asyiah, Iis Nur",8,8.0,1,1,1
"Atalah, Bassam Al",15,15.0,1,1,1
"Atamian, Hagop S.",91,91.0,1,1,1
"Athman, Shahasi",17,17.0,1,1,1
"Athman, Shahasi Y",18,18.0,1,1,1
"Atia, Mohamed A.M.",35,35.0,1,1,1
"Atibalentja, N",98,24.5,4,2,4
