Journal,Total_Citations,Mean_Citations,N_Papers,N_Genera
Acta Scientiarum Polonorum Hortorum Cultus,10,5.0,2,2
Acta Societatis Botanicorum Poloniae,54,9.0,6,3
Acta Tropica,7,7.0,1,1
Acta Universitaria,0,0.0,1,1
Acta Universitatis Sapientiae Agriculture and Environment,5,1.6666666666666667,3,2
Advanced Agritechnologies,0,0.0,1,1
Advanced Functional Materials,1,1.0,1,1
Advanced Journal of Graduate Research,0,0.0,1,1
Advances in Agriculture,32,8.0,4,2
Advances in Biological Sciences Research,2,1.0,2,1
Advances in Bioscience and Biotechnology,44,11.0,4,1
Advances in Clinical Toxicology,2,2.0,1,1
Advances in Crop Science and Technology,16,16.0,1,1
Advances in Environmental Biology,0,0.0,1,1
African Crop Science Journal,14,3.5,4,1
African Journal of Agricultural Research,76,3.1666666666666665,24,6
African Journal of Biotechnology,81,6.230769230769231,13,3
African Journal of Environmental Science and Technology,6,6.0,1,1
African Journal of Microbiology Research,36,3.6,10,4
African Journal of Plant Science,1,1.0,1,1
African Journal of Traditional Complementary and Alternative Medicines,24,24.0,1,1
African Zoology,19,4.75,4,3
Agrarian,5,2.5,2,1
Agric,0,0.0,1,1
Agricultural Reviews,0,0.0,1,1
Agricultural Science Digest - A Research Journal,2,0.4,5,2
Agricultural Sciences,19,3.8,5,1
Agricultural and Food Science,9,3.0,3,3
Agricultural and Forest Entomology,89,22.25,4,3
Agricultural science Euro-North-East,0,0.0,1,1
Agricultural science and practice,12,3.0,4,2
Agriculture,23,1.7692307692307692,13,6
Agriculture Ecosystems & Environment,591,31.105263157894736,19,5
Agriculture and Natural Resources,5,5.0,1,1
Agrikultura,1,0.16666666666666666,6,3
Agrisintech (Journal of Agribusiness and Agrotechnology),0,0.0,1,1
Agro-Ecosystems,4,4.0,1,1
Agro-Science,3,0.75,4,1
Agrociencia,0,0.0,1,1
Agrociencia Uruguay,2,0.5,4,2
Agroforestry Systems,32,10.666666666666666,3,2
Agronomie Africaine,2,2.0,1,1
Agronomy,222,4.933333333333334,45,8
Agronomy Journal,1969,19.88888888888889,99,7
Agronomy Science and Biotechnology,3,3.0,1,1
Agronomy for Sustainable Development,138,23.0,6,3
AgronomÃÂ­a Colombiana,0,0.0,1,1
AgronomÃÂ­a Costarricense,9,1.8,5,2
AgronomÃÂ­a Mesoamericana,8,0.7272727272727273,11,5
AgronomÃ­a Costarricense,5,5.0,1,1
AgronomÃ­a Mesoamericana,0,0.0,1,1
AgropecuÃÂ¡ria Catarinense,0,0.0,1,1
Agrosains Jurnal Penelitian Agronomi,0,0.0,1,1
Agrosearch,9,1.5,6,3
Agrotecnia,0,0.0,1,1
Agrovigor Jurnal Agroekoteknologi,1,1.0,1,1
Alcances TecnolÃÂ³gicos,1,0.16666666666666666,6,1
Alexandria Journal of Agricultural Sciences,0,0.0,1,1
Alexandria Science Exchange Journal,12,0.9230769230769231,13,3
Alternativas,0,0.0,1,1
American Journal of Analytical Chemistry,0,0.0,1,1
American Journal of Enology and Viticulture,2,2.0,1,1
American Journal of Plant Sciences,18,3.0,6,3
American Journal of Potato Research,529,11.5,46,4
Amurian Zoological Journal,2,1.0,2,2
An-Najah University Journal for Research - A (Natural Sciences),0,0.0,2,2
Anadolu Ege TarÃÂ±msal AraÃÂtÃÂ±rma EnstitÃÂ¼sÃÂ¼ Dergisi,0,0.0,1,1
Anais da Academia Brasileira de CiÃÂªncias,41,8.2,5,1
Anais da Academia Brasileira de CiÃªncias,0,0.0,1,1
Anais da Escola Superior de Agricultura Luiz de Queiroz,10,0.9090909090909091,11,2
Analytical Biochemistry,4,4.0,1,1
Analytical Chemistry Letters,0,0.0,1,1
Analytical Sciences,6,6.0,1,1
Anatolian Journal of Botany,0,0.0,1,1
Angewandte Chemie,8,8.0,1,1
Angewandte Chemie International Edition,41,41.0,1,1
Animal Cells and Systems,7,7.0,1,1
Animal Production Science,816,14.31578947368421,57,11
Animal Systematics Evolution and Diversity,5,5.0,1,1
Animals,18,6.0,3,2
Annales Zoologici,2,1.0,2,2
Annals of Agricultural Science Moshtohor,5,1.0,5,1
Annals of Agricultural Sciences,34,17.0,2,1
Annals of Applied Biology,7250,16.78240740740741,432,18
Annals of Botany,34,17.0,2,2
Annals of Forest Research,0,0.0,1,1
Annals of Forest Science,107,11.88888888888889,9,2
Annals of Microbiology,47,15.666666666666666,3,2
Annals of Tropical Research,0,0.0,1,1
Annals of parasitology,1,1.0,1,1
Annals of the Entomological Society of America,53,13.25,4,3
Annals of the New York Academy of Sciences,18,9.0,2,1
Annual Report of The Kansai Plant Protection Society,3,3.0,1,1
Annual Review of Microbiology,14,14.0,1,1
Annual Review of Phytopathology,962,96.2,10,5
Antibiotics,27,9.0,3,2
Antioxidants,34,8.5,4,4
Antioxidants and Redox Signaling,2,2.0,1,1
Antonie van Leeuwenhoek,135,33.75,4,3
AoB Plants,24,12.0,2,1
Apidologie,3,3.0,1,1
Applied Biochemistry and Biotechnology,100,14.285714285714286,7,4
Applied Biochemistry and Microbiology,159,13.25,12,2
Applied Biological Chemistry,100,25.0,4,2
Applied Entomology and Zoology,238,8.206896551724139,29,8
Applied Mathematics and Computation,3,3.0,1,1
Applied Mechanics and Materials,0,0.0,1,1
Applied Microbiology and Biotechnology,376,47.0,8,5
Applied Organometallic Chemistry,9,9.0,1,1
Applied Sciences,12,4.0,3,1
Applied Soil Ecology,2928,27.364485981308412,107,16
Applied and Environmental Microbiology,902,60.13333333333333,15,5
Aquatic Ecology,20,20.0,1,1
Arab Journal Of Plant Protection,0,0.0,3,2
Arab Universities Journal of Agricultural Sciences,3,0.75,4,1
Arabian Journal for Science and Engineering,5,5.0,1,1
Arabian Journal of Chemistry,15,7.5,2,2
Arabixiv,4,4.0,1,1
Arboriculture & Urban Forestry,29,5.8,5,2
Archives of Agriculture Sciences Journal,0,0.0,4,1
Archives of Agronomy and Soil Science,12,6.0,2,2
Archives of Biological Sciences,10,3.3333333333333335,3,2
Archives of Microbiology,130,21.666666666666668,6,3
Archives of Phytopathology and Plant Protection,977,4.959390862944162,197,12
Archives of Virology,35,35.0,1,1
Arquivos de CiÃÂªncias VeterinÃÂ¡rias e Zoologia da UNIPAR,0,0.0,2,2
Arquivos do Instituto BiolÃÂ³gico,25,2.0833333333333335,12,4
Arquivos do Instituto BiolÃ³gico,11,2.75,4,2
Arquivos do Mudi,2,2.0,1,1
Arthropod Management Tests,1,0.25,4,1
Arthropod Structure & Development,4,4.0,1,1
Arthropod-Plant Interactions,10,5.0,2,1
Asian Journal of Agricultural and Horticultural Research,7,7.0,1,1
Asian Journal of Applied Sciences,2,2.0,1,1
Asian Journal of Biochemistry,2,2.0,1,1
Asian Journal of Biological Sciences,13,13.0,1,1
Asian Journal of Crop Science,4,2.0,2,1
Asian Journal of Nematology,41,8.2,5,2
Asian Journal of Plant Pathology,30,7.5,4,1
Asian Journal of Plant Sciences,54,7.714285714285714,7,4
Asian Pacific Journal of Tropical Biomedicine,52,52.0,1,1
Assiut Journal of Agricultural Sciences,0,0.0,3,1
Assiut University Bulletin for Environmental Researches,0,0.0,2,1
Atlas Journal of Biology,10,5.0,2,1
Atlas Journal of Plant Biology,5,5.0,1,1
Atmospheric Environment,7,7.0,1,1
Australasian Plant Disease Notes,123,3.727272727272727,33,11
Australasian Plant Pathology,3074,26.273504273504273,117,15
Australian Forestry,41,13.666666666666666,3,2
Australian Journal of Biological Sciences,37,18.5,2,2
Australian Journal of Chemistry,7,7.0,1,1
Australian Journal of Crop Science,11,1.375,8,2
Australian Journal of Grape and Wine Research,28,9.333333333333334,3,2
Australian Journal of Zoology,16,16.0,1,1
Authorea,3,0.5,6,3
Avances en InvestigaciÃÂ³n Agropecuaria,0,0.0,2,2
BALTIC FORESTRY,1,1.0,1,1
BBR - Biochemistry and Biotechnology Reports,0,0.0,2,1
BIO Web of Conferences,0,0.0,1,1
BIOMEDICINE,0,0.0,1,1
BIOtecnia,4,4.0,1,1
BMC Chemistry,13,6.5,2,1
BMC Developmental Biology,65,16.25,4,2
BMC Ecology and Evolution,211,26.375,8,6
BMC Genomic Data,12,6.0,2,1
BMC Genomics,2205,32.4264705882353,68,8
BMC Microbiology,87,10.875,8,5
BMC Plant Biology,781,23.666666666666668,33,7
BMC Research Notes,136,34.0,4,2
BRAZILIAN JOURNAL OF AGRICULTURE - Revista de Agricultura,0,0.0,3,2
Baghdad Science Journal,0,0.0,1,1
BahÃÂ§e,0,0.0,1,1
Bangladesh Journal of Agricultural Research,12,2.4,5,1
Bangladesh Journal of Botany,4,0.8,5,1
Bangladesh Journal of Scientific and Industrial Research,0,0.0,1,1
Basic and Applied Ecology,205,34.166666666666664,6,2
Basrah Journal of Agricultural Sciences,0,0.0,1,1
BeitraÃÂge zur tropischen Landwirtschaft und VeterinaÃÂrmedizin,0,0.0,1,1
BeitrÃÂ¤ge zur Tabakforschung International,0,0.0,1,1
Beni-Suef University Journal of Basic and Applied Sciences,18,18.0,1,1
Berkala Penelitian Hayati,2,0.6666666666666666,3,2
Bio-protocol,14,7.0,2,1
BioControl,655,29.772727272727273,22,9
BioMed Research International,26,13.0,2,1
BioResources,7,3.5,2,2
Biocatalysis and Agricultural Biotechnology,39,6.5,6,1
Biochar,0,0.0,2,1
Biochemical Engineering Journal,0,0.0,1,1
Biochemical Journal,469,78.16666666666667,6,3
Biochemical Systematics and Ecology,95,10.555555555555555,9,4
Biochemical and Biophysical Research Communications,76,38.0,2,1
Biochemistry (Moscow),23,11.5,2,2
Biochimica et Biophysica Acta,13,13.0,1,1
Biochimie,6,3.0,2,1
Biocontrol Science,9,3.0,3,1
Biocontrol Science and Technology,1710,23.75,72,9
Biodiversitas Journal of Biological Diversity,42,4.666666666666667,9,4
Biodiversity Data Journal,5,2.5,2,2
Bioinformatics,96,48.0,2,2
Bioinformation,46,6.571428571428571,7,3
Bioinorganic Chemistry and Applications,21,10.5,2,1
Biologia,46,3.2857142857142856,14,8
Biologia Futura,9,9.0,1,1
Biological Agriculture & Horticulture,104,13.0,8,5
Biological Bulletin,4,4.0,1,1
Biological Control,3059,24.27777777777778,126,17
Biological Cybernetics,8,8.0,1,1
Biological Invasions,374,37.4,10,3
Biological Journal of the Linnean Society,0,0.0,1,1
Biological Reviews,92,46.0,2,1
Biological Sciences - PJSIR,6,2.0,3,3
Biological Wastes,46,11.5,4,3
Biology,24,2.4,10,6
Biology Bulletin,53,7.571428571428571,7,3
Biology Open,76,15.2,5,3
Biology and Fertility of Soils,773,25.766666666666666,30,8
Biomass Conversion and Biorefinery,9,4.5,2,1
Biomolecules,73,18.25,4,2
Bionatura,2,2.0,1,1
Bioorganic & Medicinal Chemistry,20,20.0,1,1
Bioorganic & Medicinal Chemistry Letters,210,23.333333333333332,9,3
Bioprocess and Biosystems Engineering,6,6.0,1,1
Bioresource Technology,563,35.1875,16,4
Biosaintifika Journal of Biology & Biology Education,0,0.0,1,1
Bioscience Biotechnology Research Communications,1,1.0,1,1
Bioscience Biotechnology and Biochemistry,524,22.782608695652176,23,6
Bioscience Journal,10,2.0,5,1
Biosystems Diversity,2,2.0,1,1
Biotechnic & Histochemistry,7,7.0,1,1
Biotechnology,10,10.0,1,1
Biotechnology & Bioindustry,0,0.0,1,1
Biotechnology & Biotechnological Equipment,52,6.5,8,4
Biotechnology Letters,43,14.333333333333334,3,2
Biotechnology Reports,24,24.0,1,1
Biotechnology Research and Innovation,36,9.0,4,2
Biotechnology and Bioprocess Engineering,12,12.0,1,1
Biotechnology for Biofuels and Bioproducts,8,8.0,1,1
Bitki Koruma BÃÂ¼lteni,6,1.2,5,3
Bitki Koruma BÃ¼lteni,6,1.5,4,3
Biuletyn Instytutu Hodowli i Aklimatyzacji RoÃÂlin,0,0.0,1,1
BoletÃÂ­n CientÃÂ­fico Centro de Museos Museo de Historia Natural,7,2.3333333333333335,3,2
Bosques Latitud Cero,0,0.0,1,1
Botany,471,20.47826086956522,23,5
Botany Letters,0,0.0,1,1
Bragantia,133,5.115384615384615,26,5
Brazilian Archives of Biology and Technology,161,17.88888888888889,9,3
Brazilian Journal of Biology,29,5.8,5,2
Brazilian Journal of Development,0,0.0,1,1
Brazilian Journal of Medical and Biological Research,23,23.0,1,1
Brazilian Journal of Microbiology,197,28.142857142857142,7,4
Brazilian Journal of Science,0,0.0,1,1
Breeding Science,135,11.25,12,4
Buletin Tanaman Tembakau Serat & Minyak Industri,2,1.0,2,1
Bulletin Mensuel de la SociÃÂ©tÃÂ© LinnÃÂ©enne de Lyon,0,0.0,1,1
Bulletin of Entomological Research,84,42.0,2,2
Bulletin of the Academy of Sciences of Moldova Life Sciences,0,0.0,1,1
Bulletin of the Chemical Society of Japan,15,15.0,1,1
"Bulletin of the Institute of Tropical Agriculture, Kyushu University",4,2.0,2,2
Bulletin of the National Research Centre,111,12.333333333333334,9,2
Bulletin of the Russian Academy of Sciences. Biological series,8,2.6666666666666665,3,2
Bunseki Kagaku,3,3.0,1,1
CABI Compendium,7,0.041666666666666664,168,26
CLEAN - Soil Air Water,12,6.0,2,1
CORD,8,8.0,1,1
Cahiers Agricultures,1,0.3333333333333333,3,2
Can Tho University Journal of Science,0,0.0,1,1
Canadian Journal of Biochemistry and Physiology,41,13.666666666666666,3,2
Canadian Journal of Chemistry,2,2.0,1,1
Canadian Journal of Fisheries and Aquatic Sciences,38,38.0,1,1
Canadian Journal of Forest Research,209,29.857142857142858,7,2
Canadian Journal of Microbiology,395,26.333333333333332,15,6
Canadian Journal of Plant Pathology,1294,23.527272727272727,55,9
Canadian Journal of Plant Science,356,6.357142857142857,56,6
Canadian Journal of Soil Science,92,23.0,4,3
Canadian Journal of Zoology,424,7.851851851851852,54,16
Canadian Veterinary Journal,8,8.0,1,1
Carbohydrate Polymer Technologies and Applications,2,2.0,1,1
Carbohydrate Polymers,20,20.0,1,1
Catalysis Today,38,38.0,1,1
Cell & Bioscience,21,21.0,1,1
Cells,12,3.0,4,3
Cellular and Molecular Life Sciences,20,20.0,1,1
Cercetari Agronomice in Moldova,1,0.3333333333333333,3,2
Cereal Research Communications,6,3.0,2,1
Chemical Engineering Journal,31,15.5,2,2
Chemical Papers,25,25.0,1,1
Chemical and Biological Technologies in Agriculture,19,3.1666666666666665,6,2
Chemical and Pharmaceutical Bulletin,23,11.5,2,1
Chemischer Informationsdienst Organische Chemie,0,0.0,1,1
Chemistry & Biodiversity,316,17.555555555555557,18,4
Chemistry Africa,0,0.0,1,1
Chemistry and Ecology,39,39.0,1,1
Chemistry of Heterocyclic Compounds,1,1.0,1,1
Chemistry of Natural Compounds,21,4.2,5,2
Chemoecology,41,20.5,2,2
Chemosphere,12,12.0,1,1
Chiang Mai Journal of Science,1,1.0,1,1
Chilean JAR,28,9.333333333333334,3,2
Chilean journal of agricultural & animal sciences,4,4.0,1,1
Chilean journal of agricultural research,22,5.5,4,1
China Journal of Chinese Materia Medica,3,3.0,1,1
Chinese Chemical Letters,89,14.833333333333334,6,2
Chinese Journal of Agricultural Biotechnology,6,6.0,1,1
Chinese Journal of Biotechnology,5,1.6666666666666667,3,2
Chinese Journal of Chemistry,17,8.5,2,1
Chinese Journal of Structural Chemistry,0,0.0,1,1
Chinese journal of applied ecology,22,1.8333333333333333,12,4
Chromatographia,1,1.0,1,1
Chromosoma,6,6.0,1,1
Ciencia TecnologÃÂ­ÃÂ­a y Salud,0,0.0,1,1
Ciencia e investigaciÃÂ³n agraria,8,8.0,1,1
Ciencia y TecnologÃÂ­a Agropecuaria,2,2.0,1,1
CientÃÂ­fic - Multidisciplinary Journal,0,0.0,2,1
CiÃÂªncia Florestal,2,1.0,2,1
CiÃÂªncia Rural,148,5.285714285714286,28,7
CiÃÂªncia e Agrotecnologia,50,4.545454545454546,11,4
CiÃÂªncia e Natura,1,1.0,1,1
CiÃÂªncia e TÃÂ©cnica VitivinÃÂ­cola,4,4.0,1,1
CiÃªncia Rural,26,5.2,5,4
CiÃªncia e Agrotecnologia,23,4.6,5,3
CiÃªncia e TÃ©cnica VitivinÃ­cola,4,4.0,1,1
Coffee Science,4,2.0,2,1
Cogent Food & Agriculture,39,9.75,4,1
Colloquium Agrariae,3,1.5,2,1
Columella Journal of Agricultural and Environmental Sciences,2,1.0,2,2
Combinatorial Chemistry & High Throughput Screening,19,6.333333333333333,3,2
Communications Biology,7,7.0,1,1
Communications in Agricultural and Applied Biological Sciences,344,5.292307692307692,65,13
Communications in Soil Science and Plant Analysis,1,0.3333333333333333,3,3
Communicative & Integrative Biology,4,4.0,1,1
Comparative Biochemistry and Physiology,6,6.0,1,1
Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,3,3.0,1,1
Comparative Biochemistry and Physiology Part B Biochemistry and Molecular Biology,64,32.0,2,2
Comparative Biochemistry and Physiology Part B Comparative Biochemistry,92,46.0,2,2
Comparative Biochemistry and Physiology Part C Toxicology & Pharmacology,0,0.0,3,2
Comparative Parasitology,14,7.0,2,2
Compost Science & Utilization,103,14.714285714285714,7,4
Comptes Rendus Biologies,59,29.5,2,1
Comptes rendus de l'AcadÃ©mie des Sciences,3,3.0,1,1
Computational Biology and Chemistry,26,13.0,2,2
Computers and Electronics in Agriculture,36,6.0,6,3
Comunicata Scientiae,0,0.0,1,1
Conjecturas,0,0.0,1,1
Conservation Genetics Resources,6,6.0,1,1
Contribuciones a las Ciencias Sociales,0,0.0,1,1
Contributions to Zoology,39,19.5,2,2
Critical Reviews in Biotechnology,24,24.0,1,1
Crop Management,38,12.666666666666666,3,2
Crop Protection,4641,21.19178082191781,219,18
Crop Science,5409,21.98780487804878,246,9
Crop and Pasture Science,868,24.11111111111111,36,5
"Crop, Forage & Turfgrass Management",5,1.6666666666666667,3,2
Cropp Breeding and Applied Biotechnology,67,6.7,10,3
Cryobiology,11,3.6666666666666665,3,2
Cuadernos de la Sociedad EspaÃÂ±ola de Ciencias Forestales,0,0.0,2,1
Cukurova University Agriculture Faculty,0,0.0,1,1
Current Agriculture Research Journal,0,0.0,1,1
Current Biology,166,55.333333333333336,3,2
Current Botany,3,3.0,1,1
Current Chemical Biology,9,9.0,1,1
Current Forestry Reports,102,51.0,2,1
Current Issues in Molecular Biology,16,8.0,2,1
Current Journal of Applied Science and Technology,1,0.5,2,2
Current Medicinal Chemistry,6,6.0,1,1
Current Microbiology,181,13.923076923076923,13,6
Current Organic Chemistry,36,36.0,1,1
Current Organic Synthesis,0,0.0,1,1
Current Plant Biology,29,29.0,1,1
Cytobios,54,18.0,3,2
Cytologia,0,0.0,2,1
Cytology and Genetics,41,5.125,8,3
DELOS Desarrollo Local Sostenible,0,0.0,3,1
DNA Research,90,30.0,3,3
Data in Brief,43,14.333333333333334,3,2
Database,5,5.0,1,1
Defence Life Science Journal,0,0.0,1,1
Descriptions of Fungi and Bacteria,2,0.25,8,6
Development Growth & Differentiation,22,22.0,1,1
Developmental & Comparative Immunology,4,4.0,1,1
Discover Sustainability,0,0.0,1,1
Distribution Maps of Plant Diseases,6,0.0594059405940594,101,23
Diversitas Journal,0,0.0,4,2
Diversity,0,0.0,1,1
Diversity and Distributions,19,19.0,1,1
Doklady Biochemistry and Biophysics,41,5.857142857142857,7,2
Drug and Chemical Toxicology,12,12.0,1,1
E-Journal of Chemistry,43,21.5,2,1
E3S Web of Conferences,0,0.0,2,2
ECUADOR ES CALIDAD - Revista CientÃÂ­fica Ecuatoriana,0,0.0,1,1
EDIS,14,0.7,20,12
EFSA Journal,62,4.769230769230769,13,8
EFSA Supporting Publications,3,3.0,1,1
EPPO Bulletin,1737,9.142105263157895,190,14
Earth & Environmental Science Research & Reviews,2,2.0,1,1
Earth and Planetary Science Letters,68,68.0,1,1
EclÃÂ©tica QuÃÂ­mica,1,0.5,2,1
EclÃ©tica QuÃ­mica,1,0.5,2,1
Ecologia,2,2.0,1,1
Ecologia mediterranea,1,0.5,2,2
Ecological Applications,7,7.0,1,1
Ecological Chemistry and Engineering S,17,17.0,1,1
Ecological Entomology,28,7.0,4,1
Ecological Modelling,45,22.5,2,2
Ecological Research,31,15.5,2,1
Ecological Solutions and Evidence,3,3.0,1,1
Ecology,326,54.333333333333336,6,4
Ecology Environment and Conservation,0,0.0,3,1
Ecology Letters,103,103.0,1,1
Ecology and Evolution,89,8.9,10,4
Ecoprint An International Journal of Ecology,5,5.0,1,1
Ecoscience,16,8.0,2,1
Ecosistemas y Recursos Agropecuarios,1,0.5,2,1
Ecosystem Health and Sustainability,5,5.0,1,1
Ecosystems,4,4.0,1,1
Ecotoxicology,13,13.0,1,1
Ege ÃÂniversitesi Ziraat FakÃÂ¼ltesi Dergisi,5,1.6666666666666667,3,2
Egyptian Academic Journal of Biological Sciences B Zoology,0,0.0,2,1
Egyptian Academic Journal of Biological Sciences F Toxicology & Pest Control,14,1.5555555555555556,9,1
Egyptian Academic Journal of Biological Sciences G Microbiology,0,0.0,1,1
Egyptian Journal of Agricultural Research,6,2.0,3,2
Egyptian Journal of Agronematology,124,1.9375,64,6
Egyptian Journal of Biological Pest Control,466,8.62962962962963,54,6
Egyptian Journal of Crop Protection,7,0.6363636363636364,11,2
Egyptian Journal of Desert Research,1,0.5,2,1
Egyptian Journal of Horticulture,6,6.0,1,1
Egyptian Journal of Microbiology,0,0.0,2,1
Egyptian Journal of Phytopathology,2,0.4,5,2
Egyptian-Arab Journal of Applied Sciences and Technology,0,0.0,1,1
Electronics,0,0.0,1,1
Electrophoresis,37,12.333333333333334,3,2
Emirates Journal of Food and Agriculture,3,3.0,1,1
Energy and Earth Science,0,0.0,1,1
Engineering,24,24.0,1,1
Ensaios e CiÃÂªncia C BiolÃÂ³gicas AgrÃÂ¡rias e da SaÃÂºde,0,0.0,3,2
Ensaios e CiÃªncia C BiolÃ³gicas AgrÃ¡rias e da SaÃºde,0,0.0,1,1
Entomologia Experimentalis et Applicata,615,51.25,12,4
Entomologia Hellenica,5,5.0,1,1
Entomologica Fennica,27,9.0,3,1
Entomological Research,29,4.142857142857143,7,2
Entomological Review,7,3.5,2,1
Environment Conservation Journal,0,0.0,3,2
"Environment, Development and Sustainability",0,0.0,1,1
Environmental Entomology,127,21.166666666666668,6,2
Environmental Microbiology,118,29.5,4,4
Environmental Microbiology Reports,36,36.0,1,1
Environmental Microbiome,20,6.666666666666667,3,3
Environmental Pollution,17,17.0,1,1
Environmental Research,6,6.0,1,1
Environmental Science Nano,0,0.0,1,1
Environmental Science and Pollution Research,123,8.785714285714286,14,6
Environmental Science and Technology,11,11.0,1,1
Environmental Sciences Proceedings,0,0.0,2,1
Environmental Technology & Innovation,4,2.0,2,1
Environmental Toxicology and Pharmacology,15,15.0,1,1
Environmental and Experimental Botany,65,32.5,2,1
Erwerbs-Obstbau,2,1.0,2,1
Estuarine Coastal and Shelf Science,26,26.0,1,1
Ethiopian Journal of Environmental Studies and Management,4,1.3333333333333333,3,1
Euphytica,1620,15.882352941176471,102,9
European Journal of Agronomy,42,14.0,3,2
European Journal of Biology and Biotechnology,1,1.0,1,1
European Journal of Chemistry,0,0.0,2,1
European Journal of Forest Research,30,10.0,3,1
European Journal of Lipid Science and Technology,34,17.0,2,1
European Journal of Medicinal Chemistry,89,44.5,2,2
European Journal of Organic Chemistry,38,38.0,1,1
European Journal of Plant Pathology,5054,15.45565749235474,327,21
European Journal of Soil Biology,143,13.0,11,5
European Journal of Soil Science,18,9.0,2,1
European Journal of Taxonomy,1,1.0,1,1
European Journal of Wood and Wood Products,12,3.0,4,1
Evidence-based Complementary and Alternative Medicine,121,60.5,2,2
EvoDevo,6,3.0,2,1
Evolutionary Applications,137,9.785714285714286,14,3
Evolutionary Ecology,39,39.0,1,1
Experimental Agriculture,70,14.0,5,2
Experimental Parasitology,835,16.372549019607842,51,7
Experimental and Applied Acarology,95,11.875,8,3
FAVE SecciÃÂ³n Ciencias Agrarias,1,1.0,1,1
FEBS Letters,391,97.75,4,3
FEMS Microbiology Ecology,356,44.5,8,4
FEMS Microbiology Letters,450,30.0,15,6
FUDMA Journal of Sciences,0,0.0,2,1
Faktori eksperimental noi evolucii organizmiv,0,0.0,4,2
Fayoum Journal of Agricultural Research and Development,0,0.0,1,1
Field Crops Research,876,33.69230769230769,26,6
Fisheries Research,19,19.0,1,1
Flora,26,8.666666666666666,3,2
Floresta,1,1.0,1,1
Florida Entomologist,111,27.75,4,2
Fly,4,4.0,1,1
Folia AmazÃÂ³nica,2,2.0,1,1
Folia Oecologica,0,0.0,2,1
Food Chemistry,42,42.0,1,1
Food Microbiology,3,3.0,1,1
Food Reviews International,6,6.0,1,1
Food and Chemical Toxicology,40,40.0,1,1
Forest Ecology and Management,150,21.428571428571427,7,1
Forest Pathology,1240,14.588235294117647,85,4
Forest Science,4,4.0,1,1
Forest Science and Practice,42,7.0,6,1
Forest Science and Technology,17,4.25,4,1
Forest Systems,1,1.0,1,1
Forestry,51,25.5,2,1
Forests,186,4.043478260869565,46,1
Frontiers in Agronomy,2,1.0,2,1
Frontiers in Bioengineering and Biotechnology,3,3.0,1,1
Frontiers in Bioinformatics,0,0.0,1,1
Frontiers in Cell and Developmental Biology,1,1.0,1,1
Frontiers in Chemistry,42,10.5,4,2
Frontiers in Ecology and Evolution,22,11.0,2,2
Frontiers in Environmental Science,5,5.0,1,1
Frontiers in Forests and Global Change,5,1.6666666666666667,3,2
Frontiers in Fungal Biology,6,1.5,4,2
Frontiers in Genetics,32,6.4,5,4
Frontiers in Microbiology,1136,20.654545454545456,55,9
Frontiers in Nutrition,12,12.0,1,1
Frontiers in Parasitology,0,0.0,1,1
Frontiers in Physiology,23,5.75,4,2
Frontiers in Plant Science,2020,11.95266272189349,169,11
Frontiers in Sustainable Food Systems,24,2.6666666666666665,9,3
Frontiers of Forestry in China,18,3.6,5,1
Functional & Integrative Genomics,165,23.571428571428573,7,3
Functional Ecology,214,53.5,4,1
