title,authors,pub_year,journal,citations,Genus,Species
"A novel blast resistance gene, Pi54rh cloned from wild species of rice, Oryza rhizomatis confers broad spectrum resistance to Magnaporthe oryzae","Das, Alok; Soubam, D.; Singh, P. K.; Thakur, S.; Singh, N. K.; Sharma, T. R.",2012,Functional & Integrative Genomics,123,meloidogyne,oryzae
"A plant growth promoting rhizobacterium, Paenibacillus polymyxa strain GBR-1, suppresses root-knot nematode","Khan, Z.; Kim, S.G.; Jeon, Y.H.; Khan, H.U.; Son, S.H.; Kim, Y.H.",2007,Bioresource Technology,122,meloidogyne,incognita
Conserved fungal effector suppresses PAMP-triggered immunity by targeting plant immune kinases,"Irieda, Hiroki; Inoue, Yoshihiro; Mori, Masashi; Yamada, Kohji; Oshikawa, Yuu; Saitoh, Hiromasa; Uemura, Aiko; Terauchi, Ryohei; Kitakura, Saeko; Kosaka, Ayumi; Singkaravanit-Ogawa, Suthitar; Takano, Yoshitaka",2018,Proceedings of the National Academy of Sciences of the United States of America,122,meloidogyne,oryzae
Biocontrol agents applied individually and in combination for suppression of soilborne diseases of cucumber,"Roberts, Daniel P.; Lohrke, Scott M.; Meyer, Susan L.F.; Buyer, Jeffrey S.; Bowers, John H.; Baker, C. Jacyn; Li, Wei; de Souza, Jorge T.; Lewis, Jack A.; Chung, Soohee",2005,Crop Protection,121,meloidogyne,incognita
Functional analysis of pathogenicity proteins of the potato cyst nematode Globodera rostochiensis using RNAi.,"Chen, Qing; Rehman, S; Smant, G; Jones, John T",2005,Molecular Plant-Microbe Interactions,121,globodera,rostochiensis
Auxin induction is a trigger for root gall formation caused by root-knot nematodes in white clover and is associated with the activation of the flavonoid pathway,"Hutangura, Pokkwan; Mathesius, Ulrike; Jones, Mike G. K.; Rolfe, Barry G.",1999,Functional Plant Biology,119,meloidogyne,javanica
Susceptibility to the sugar beet cyst nematode is modulated by ethylene signal transduction in Arabidopsis thaliana.,"Wubben, M J; Su, H; Rodermel, S R; Baum, T J",2001,Molecular Plant-Microbe Interactions,119,heterodera,schachtii
"Genome Mapping of Soybean Cyst Nematode Resistance Genes in Ã¢ÂÂPekingÃ¢ÂÂ, PI 90763, and PI 88788 Using DNA Markers","Concibido, Vergel C.; Lange, Douglas A.; Denny, Roxanne L.; Orf, James H.; Young, Nevin D.",1997,Crop Science,119,heterodera,glycines
"Genome Mapping of Soybean Cyst Nematode Resistance Genes in ÂPekingÂ, PI 90763, and PI 88788 Using DNA Markers","Concibido, Vergel C.; Lange, Douglas A.; Denny, Roxanne L.; Orf, James H.; Young, Nevin D.",1997,Crop Science,119,heterodera,glycines
Timecourse microarray analyses reveal global changes in gene expression of susceptible Glycine max (soybean) roots during infection by Heterodera glycines (soybean cyst nematode),"Alkharouf, Nadim W.; Klink, Vincent P.; Chouikha, Imed B.; Beard, Hunter S.; MacDonald, Margaret H.; Meyer, Susan; Knap, Halina T.; Khan, Rana; Matthews, Benjamin F.",2006,Planta,118,heterodera,glycines
Suppressive Impact of Glucosinolates in Brassica Vegetative Tissues on Root Lesion Nematode Pratylenchus neglectus,"Potter, Mark J.; Davies, Kerrie; Rathjen, Anthony J.",1998,Journal of Chemical Ecology,118,pratylenchus,neglectus
Timecourse microarray analyses reveal global changes in gene expression of susceptible Glycine max (soybean) roots during infection by Heterodera glycines (soybean cyst nematode),"Alkharouf, Nadim W.; Klink, Vincent P.; Chouikha, Imed B.; Beard, Hunter S.; MacDonald, Margaret H.; Meyer, Susan; Knap, Halina T.; Khan, Rana; Matthews, Benjamin F.",2006,Planta,118,heterodera,glycines
Suppressive Impact of Glucosinolates in Brassica Vegetative Tissues on Root Lesion Nematode Pratylenchus neglectus,"Potter, Mark J.; Davies, Kerrie; Rathjen, Anthony J.",1998,Journal of Chemical Ecology,118,pratylenchus,neglectus
Arabidopsis small RNAs and their targets during cyst nematode parasitism.,"Hewezi, Tarek; Howe, Peter; Maier, Tom R; Baum, Thomas J",2008,Molecular Plant-Microbe Interactions,118,heterodera,schachtii
Characterisation of volatiles produced from Bacillus megaterium YFM3.25 and their nematicidal activity against Meloidogyne incognita,"Huang, Ying; Xu, ChuanKun; Ma, Li; Zhang, KeQin; Duan, ChangQun; Mo, MingHe",2009,European Journal of Plant Pathology,117,meloidogyne,incognita
"Genomic organization of four ?-1,4-endoglucanase genes in plant-parasitic cyst nematodes and its evolutionary implications","Yan, Yitang; Smant, Geert; Stokkermans, Jack; Qin, Ling; Helder, Johannes; Baum, Thomas; Schots, Arjen; Davis, Eric",1998,Gene,117,globodera,rostochiensis
"Identification and Field Activity of a Male-Produced Aggregation Pheromone in the Pine Sawyer Beetle, Monochamus galloprovincialis","Pajares, Juan A.; ÃÂlvarez, Gonzalo; Ibeas, Fernando; Gallego, Diego; Hall, David R.; Farman, Dudley I.",2010,Journal of Chemical Ecology,117,bursaphelenchus,xylophilus
Characterisation of volatiles produced from Bacillus megaterium YFM3.25 and their nematicidal activity against Meloidogyne incognita,"Huang, Ying; Xu, ChuanKun; Ma, Li; Zhang, KeQin; Duan, ChangQun; Mo, MingHe",2009,European Journal of Plant Pathology,117,meloidogyne,incognita
"Genomic organization of four ÃÂ²-1,4-endoglucanase genes in plant-parasitic cyst nematodes and its evolutionary implications","Yan, Yitang; Smant, Geert; Stokkermans, Jack; Qin, Ling; Helder, Johannes; Baum, Thomas; Schots, Arjen; Davis, Eric",1998,Gene,117,globodera,rostochiensis
Expression of an engineered cysteine proteinase inhibitor (Oryzacystatin-IÃÂD86) for nematode resistance in transgenic rice plants,"Vain, P.; Worland, B.; Clarke, M. C.; Richard, G.; Beavis, M.; Liu, H.; Kohli, A.; Leech, M.; Snape, J.; Christou, P.; Atkinson, H.",1998,Theoretical and Applied Genetics,117,meloidogyne,incognita
Enzyme phenotypes of Meloidogyne spp. populations,"Carneiro, Regina M.D.G.; QuÃÂ©nÃÂ©hervÃÂ©, Patrick; Almeida, Maria Ritta",2000,Nematology,116,meloidogyne,javanica
"Distinct Copy Number, Coding Sequence, and Locus Methylation Patterns Underlie Rhg1-Mediated Soybean Resistance to Soybean Cyst Nematode Â  Â ","Cook, David E.; Bayless, Adam M.; Wang, Kai; Guo, Xiaoli; Song, Qijian; Jiang, Jiming; Bent, Andrew F.",2014,Plant Physiology,116,heterodera,glycines
"Soil nematode community, organic matter, microbial biomass and nitrogen dynamics in field plots transitioning from conventional to organic management","Briar, Shabeg S.; Grewal, Parwinder S.; Somasekhar, Nethi; Stinner, D.; Miller, Sally A.",2007,Applied Soil Ecology,116,pratylenchus,crenatus
"Soil nematode community, organic matter, microbial biomass and nitrogen dynamics in field plots transitioning from conventional to organic management","Briar, Shabeg S.; Grewal, Parwinder S.; Somasekhar, Nethi; Stinner, D.; Miller, Sally A.",2007,Applied Soil Ecology,116,pratylenchus,crenatus
Effects of Jasmonate-Induced Defenses on Root-Knot Nematode Infection of Resistant and Susceptible Tomato Cultivars,"Cooper, W. R.; Jia, L.; Goggin, L.",2005,Journal of Chemical Ecology,116,meloidogyne,javanica
"Distinct Copy Number, Coding Sequence, and Locus Methylation Patterns Underlie Rhg1-Mediated Soybean Resistance to Soybean Cyst Nematode ÃÂ  ÃÂ ","Cook, David E.; Bayless, Adam M.; Wang, Kai; Guo, Xiaoli; Song, Qijian; Jiang, Jiming; Bent, Andrew F.",2014,Plant Physiology,116,heterodera,glycines
Molecular characterisation of 18 Pratylenchus species using rDNA Restriction Fragment Length Polymorphism,"Waeyenberge, Lieven; Ryss, Alexander; Moens, Maurice; Pinochet, Jorge; Vrain, Thierry",2000,Nematology,115,pratylenchus,agilis
Molecular characterisation of 18 Pratylenchus species using rDNA Restriction Fragment Length Polymorphism,"Waeyenberge, Lieven; Ryss, Alexander; Moens, Maurice; Pinochet, Jorge; Vrain, Thierry",2000,Nematology,115,pratylenchus,agilis
"A Review on Ethnopharmacological Applications, Pharmacological Activities, and Bioactive Compounds of Mangifera indica (Mango)","Ediriweera, Meran Keshawa; Tennekoon, Kamani Hemamala; Samarakoon, Sameera Ranganath",2017,Evidence-based Complementary and Alternative Medicine,115,meloidogyne,indica
Isolation and Characterization of Beneficial Bacteria Associated with Citrus Roots in Florida,"Trivedi, Pankaj; Spann, Timothy; Wang, Nian",2011,Microbial Ecology,115,longidorus,asiaticus
"On the Taxonomy and Morphology of the Pine Wood Nematode, Bursaphelenchus xylophilus (Steiner &Buhrer 1934) Nickle 1970.","Nickle, W R; Golden, A M; Mamiya, Y; Wergin, W P",1981,Journal of Nematology,115,bursaphelenchus,xylophilus
Effects of organic mulches on soil microfauna in the root zone of apple: implications for nutrient fluxes and functional diversity of the soil food web,"Forge, T.A; Hogue, E; Neilsen, G; Neilsen, D",2003,Applied Soil Ecology,114,pratylenchus,penetrans
A polygalacturonase of animal origin isolated from the rootÃ¢ÂÂknot nematode Meloidogyne incognita 1,"Jaubert, StÃÂ©phanie; Laffaire, Jean-Baptiste; Abad, Pierre; Rosso, Marie-NoÃÂ«lle",2002,FEBS Letters,114,meloidogyne,incognita
PR genes in genetic and induced resistance to RKNs,"Molinari, Sergio; Fanelli, Elena; Leonetti, Paola",2013,Molecular Plant Pathology,114,meloidogyne,incognita
Fusarium oxysporum endophytes induced systemic resistance against Radopholus similis on banana,"Vu, Tam; Sikora, Richard; Hauschild, RÃÂ¼diger",2006,Nematology,114,radopholus,similis
PR genes in genetic and induced resistance to RKNs,"Molinari, Sergio; Fanelli, Elena; Leonetti, Paola",2013,Molecular Plant Pathology,114,meloidogyne,incognita
Map-based cloning of a gene sequence encoding a nucleotide-binding domain and a leucine-rich region at the Cre3 nematode resistance locus of wheat,"Lagudah, E S; Moullet, O; Appels, R",1997,Genome,114,heterodera,avenae
QTLs Associated with Resistance to Soybean Cyst Nematode in Soybean: Meta?Analysis of QTL Locations,"Guo, B.; Sleper, D. A.; Lu, P.; Shannon, J. G.; Nguyen, H. T.; Arelli, P. R.",2006,Crop Science,113,heterodera,glycines
"Influence of Tillage and Crop Rotation on Yields of Corn, Soybean, and Wheat","Edwards, J. H.; Thurlow, D. L.; Eason, J. T.",1988,Agronomy Journal,113,heterodera,glycines
"Influence of Tillage and Crop Rotation on Yields of Corn, Soybean, and Wheat","Edwards, J. H.; Thurlow, D. L.; Eason, J. T.",1988,Agronomy Journal,113,heterodera,glycines
QTLs Associated with Resistance to Soybean Cyst Nematode in Soybean: MetaÃ¢ÂÂAnalysis of QTL Locations,"Guo, B.; Sleper, D. A.; Lu, P.; Shannon, J. G.; Nguyen, H. T.; Arelli, P. R.",2006,Crop Science,113,heterodera,glycines
RNAi Effector Diversity in Nematodes,"Dalzell, Johnathan J.; McVeigh, Paul; Warnock, Neil D.; Mitreva, Makedonka; Bird, David McK.; Abad, Pierre; Fleming, Colin C.; Day, Tim A.; Mousley, Angela; Marks, Nikki J.; Maule, Aaron G.",2011,PLOS Neglected Tropical Diseases,113,meloidogyne,incognita
Root herbivory reduces growth and survival of the shoot feeding specialist Pieris rapae on Brassica nigra,"Van Dam, Nicole M.; Raaijmakers, Ciska E.; Van Der Putten, Wim H.",2005,Entomologia Experimentalis et Applicata,113,pratylenchus,penetrans
Application of Pluronic gel to the study of root-knot nematode behaviour,"Wang, Congli; Lower, Steven; Williamson, Valerie M.",2009,Nematology,113,meloidogyne,javanica
Eggplant relatives as sources of variation for developing new rootstocks: Effects of grafting on eggplant yield and fruit apparent quality and composition,"Gisbert, Carmina; Prohens, Jaime; RaigÃÂ³n, MarÃÂ­a D.; Stommel, John R.; Nuez, Fernando",2011,Scientia Horticulturae,113,meloidogyne,incognita
"Occurrence of novel verrucomicrobial species, endosymbiotic and associated with parthenogenesis in Xiphinema americanum-group species (Nematoda, Longidoridae).","Vandekerckhove, T T; Willems, A; Gillis, M; Coomans, A",2000,International Journal of Systematic and Evolutionary Microbiology,113,xiphinema,americanum
"Genome-wide analysis of the Hsp 20 gene family in soybean: comprehensive sequence, genomic organization and expression profile analysis under abiotic and biotic stresses","Lopes-Caitar, ValÃÂ©ria S; de Carvalho, Mayra CCG; Darben, Luana M; Kuwahara, Marcia K; Nepomuceno, Alexandre L; Dias, Waldir P; Abdelnoor, Ricardo V; Marcelino-GuimarÃÂ£es, Francismar C",2013,BMC Genomics,113,meloidogyne,javanica
Identification of Soybean MicroRNAs Involved in Soybean Cyst Nematode Infection by Deep Sequencing,"Li, Xiaoyan; Wang, Xue; Zhang, Shaopeng; Liu, Dawei; Duan, Yuxi; Dong, Wei",2012,PLOS ONE,113,heterodera,glycines
Influences of organic and synthetic soil fertility amendments on nematode trophic groups and community dynamics under tomatoes,"Bulluck, L.R; Barker, K.R; Ristaino, J.B",2002,Applied Soil Ecology,112,meloidogyne,incognita
Influences of organic and synthetic soil fertility amendments on nematode trophic groups and community dynamics under tomatoes,"Bulluck, L.R; Barker, K.R; Ristaino, J.B",2002,Applied Soil Ecology,112,meloidogyne,incognita
Studies on the nutrient uptake by the beet cyst nematode Heterodera schachtii by in situ microinjection of fluorescent probes into the feeding structures in Arabidopsis thaliana,"BÃÂ¶ckenhoff, A.; Grundler, F. M. W.",1994,Parasitology,111,heterodera,schachtii
Studies on the nutrient uptake by the beet cyst nematode Heterodera schachtii by in situ microinjection of fluorescent probes into the feeding structures in Arabidopsis thaliana,"BÃ¶ckenhoff, A.; Grundler, F. M. W.",1994,Parasitology,111,heterodera,schachtii
Rapidly evolving R genes in diverse grass species confer resistance to rice blast disease,"Yang, Sihai; Li, Jing; Zhang, Xiaohui; Zhang, Qijun; Huang, Ju; Chen, Jian-Qun; Hartl, Daniel L.; Tian, Dacheng",2013,Proceedings of the National Academy of Sciences of the United States of America,111,meloidogyne,oryzae
Sensitivity of Meloidogyne incognita and Rotylenchulus reniformis to Fluopyram.,"Faske, T R; Hurd, K",2015,Journal of Nematology,111,meloidogyne,incognita
An Efficient New Device to Release Eggs From Heterodera glycines.,"Faghihi, J; Ferris, J M",2000,Journal of Nematology,111,heterodera,glycines
"Long-term consequences of tillage, residue management, and crop rotation on maize/wheat root rot and nematode populations in subtropical highlands","Govaerts, Bram; Mezzalama, Monica; Sayre, Ken D.; Crossa, Jose; Nicol, Julie M.; Deckers, Jozef",2006,Applied Soil Ecology,111,pratylenchus,thornei
THE PINEWOOD NEMATODE:Regulation and Mitigation,"Dwinell, L. David",1997,Annual Review of Phytopathology,111,bursaphelenchus,xylophilus
QTL mapping of multiple foliar disease and root-lesion nematode resistances in wheat,"Zwart, R. S.; Thompson, J. P.; Milgate, A. W.; Bansal, U. K.; Williamson, P. M.; Raman, H.; Bariana, H. S.",2010,Molecular Breeding,111,pratylenchus,neglectus
Molecular cloning of a cDNA encoding an amphid-secreted putative avirulence protein from the root-knot nematode Meloidogyne incognita.,"Semblat, J P; Rosso, M N; Hussey, R S; Abad, P; Castagnone-Sereno, P",2001,Molecular Plant-Microbe Interactions,110,meloidogyne,incognita
Phenalenone-type phytoalexins mediate resistance of banana plants (Musa spp.) to the burrowing nematode Radopholus similis,"HÃÂ¶lscher, Dirk; Dhakshinamoorthy, Suganthagunthalam; Alexandrov, Theodore; Becker, Michael; Bretschneider, Tom; Buerkert, Andreas; Crecelius, Anna C.; De Waele, Dirk; Elsen, Annemie; Heckel, David G.; Heklau, Heike; Hertweck, Christian; Kai, Marco; Knop, Katrin; Krafft, Christoph; Maddula, Ravi K.; MatthÃÂ¤us, Christian; Popp, JÃÂ¼rgen; Schneider, Bernd; Schubert, Ulrich S.; Sikora, Richard A.; SvatoÃÂ¡, AleÃÂ¡; Swennen, Rony L.",2013,Proceedings of the National Academy of Sciences of the United States of America,110,radopholus,similis
"Role of cyanide production by Pseudomonas fluorescens CHA0 in the suppression of root-knot nematode, Meloidogyne javanica in tomato","Siddiqui, Imran A.; Shaukat, S. Shahid; Sheikh, Imtiaz Hussain; Khan, Aly",2006,World Journal of Microbiology and Biotechnology,110,meloidogyne,javanica
Mycorrhiza-induced resistance against the rootÃ¢ÂÂknot nematode Meloidogyne incognita involves priming of defense gene responses in tomato,"Vos, C.; Schouteden, N.; van Tuinen, D.; Chatagnier, O.; Elsen, A.; De Waele, D.; Panis, B.; Gianinazzi-Pearson, V.",2013,Soil Biology and Biochemistry,110,meloidogyne,incognita
Mycorrhiza-induced resistance against the rootÂknot nematode Meloidogyne incognita involves priming of defense gene responses in tomato,"Vos, C.; Schouteden, N.; van Tuinen, D.; Chatagnier, O.; Elsen, A.; De Waele, D.; Panis, B.; Gianinazzi-Pearson, V.",2013,Soil Biology and Biochemistry,110,meloidogyne,incognita
MOVEMENT OF EELWORMS,"WALLACE, H. R.",1958,Annals of Applied Biology,109,heterodera,schachtii
A comparative genomics study of 23 Aspergillus species from section Flavi,"KjÃÂ¦rbÃÂ¸lling, Inge; Vesth, Tammi; Frisvad, Jens C.; Nybo, Jane L.; Theobald, Sebastian; Kildgaard, Sara; Petersen, Thomas Isbrandt; Kuo, Alan; Sato, Atsushi; Lyhne, Ellen K.; Kogle, Martin E.; Wiebenga, Ad; Kun, Roland S.; Lubbers, Ronnie J. M.; MÃÂ¤kelÃÂ¤, Miia R.; Barry, Kerrie; Chovatia, Mansi; Clum, Alicia; Daum, Chris; Haridas, Sajeet; He, Guifen; LaButti, Kurt; Lipzen, Anna; Mondo, Stephen; Pangilinan, Jasmyn; Riley, Robert; Salamov, Asaf; Simmons, Blake A.; Magnuson, Jon K.; Henrissat, Bernard; Mortensen, Uffe H.; Larsen, Thomas O.; de Vries, Ronald P.; Grigoriev, Igor V.; Machida, Masayuki; Baker, Scott E.; Andersen, Mikael R.",2020,Nature Communications,109,aphelenchoides,oryzae
MOVEMENT OF EELWORMS,"WALLACE, H. R.",1958,Annals of Applied Biology,109,heterodera,schachtii
A novel nematode effector suppresses plant immunity by activating host reactive oxygen speciesÃ¢ÂÂscavenging system,"Lin, Borong; Zhuo, Kan; Chen, Shiyan; Hu, Lili; Sun, Longhua; Wang, Xiaohong; Zhang, LianÃ¢ÂÂHui; Liao, Jinling",2015,New Phytologist,109,meloidogyne,javanica
The nematophagous fungus Verticillium chlamydosporium produces a chymoelastase-like protease which hydrolyses host nematode proteins in situ,"Segers, R; Butt, T M; Kerry, B R; Peberdy, J F",1994,Microbiology,109,meloidogyne,incognita
A novel nematode effector suppresses plant immunity by activating host reactive oxygen species?scavenging system,"Lin, Borong; Zhuo, Kan; Chen, Shiyan; Hu, Lili; Sun, Longhua; Wang, Xiaohong; Zhang, Lian?Hui; Liao, Jinling",2015,New Phytologist,109,meloidogyne,javanica
Dual roles for the variable domain in protein trafficking and hostÃ¢ÂÂspecific recognition of Heterodera glycines CLE effector proteins,"Wang, Jianying; Lee, Chris; Replogle, Amy; Joshi, Sneha; Korkin, Dmitry; Hussey, Richard; Baum, Thomas J; Davis, Eric L; Wang, Xiaohong; Mitchum, Melissa G",2010,New Phytologist,108,heterodera,glycines
Impact of anaerobic soil disinfestation combined with soil solarization on plantÃ¢ÂÂparasitic nematodes and introduced inoculum of soilborne plant pathogens in raised-bed vegetable production,"Butler, David M.; Kokalis-Burelle, Nancy; Muramoto, Joji; Shennan, Carol; McCollum, T. Greg; Rosskopf, Erin N.",2012,Crop Protection,108,meloidogyne,incognita
"Feeding cell development by cyst and rootÃ¢ÂÂknot nematodes involves a similar early, local and transient activation of a specific auxinÃ¢ÂÂinducible promoter element","KARCZMAREK, ANETA; OVERMARS, HEIN; HELDER, JOHANNES; GOVERSE, ASKA",2004,Molecular Plant Pathology,108,heterodera,schachtii
Dual roles for the variable domain in protein trafficking and host?specific recognition of Heterodera glycines CLE effector proteins,"Wang, Jianying; Lee, Chris; Replogle, Amy; Joshi, Sneha; Korkin, Dmitry; Hussey, Richard; Baum, Thomas J; Davis, Eric L; Wang, Xiaohong; Mitchum, Melissa G",2010,New Phytologist,108,heterodera,glycines
Comparative mapping of Phytophthora resistance loci in pepper germplasm: evidence for conserved resistance loci across Solanaceae and for a large genetic diversity,"Thabuis, A.; Palloix, A.; Pflieger, S.; DaubÃÂ¨ze, A.-M.; Caranta, C.; Lefebvre, V.",2003,Theoretical and Applied Genetics,108,pratylenchus,capsici
"Feeding cell development by cyst and root?knot nematodes involves a similar early, local and transient activation of a specific auxin?inducible promoter element","KARCZMAREK, ANETA; OVERMARS, HEIN; HELDER, JOHANNES; GOVERSE, ASKA",2004,Molecular Plant Pathology,108,heterodera,schachtii
Expansins are involved in the formation of nematode?induced syncytia in roots of Arabidopsis thaliana,"Wieczorek, Krzysztof; Golecki, Bettina; Gerdes, Lars; Heinen, Petra; Szakasits, Dagmar; Durachko, Daniel M.; Cosgrove, Daniel J.; Kreil, David P.; Puzio, Piotr S.; Bohlmann, Holger; Grundler, Florian M. W.",2006,The Plant Journal,108,heterodera,schachtii
Expansins are involved in the formation of nematodeÃ¢ÂÂinduced syncytia in roots of Arabidopsis thaliana,"Wieczorek, Krzysztof; Golecki, Bettina; Gerdes, Lars; Heinen, Petra; Szakasits, Dagmar; Durachko, Daniel M.; Cosgrove, Daniel J.; Kreil, David P.; Puzio, Piotr S.; Bohlmann, Holger; Grundler, Florian M. W.",2006,The Plant Journal,108,heterodera,schachtii
Local and Systemic Induced Resistance to the Root-Knot Nematode in Tomato by DL-beta-Amino-n-Butyric Acid.,"Oka, Yuji; Cohen, Yigal; Spiegel, Yitzhak",1999,Phytopathology,108,meloidogyne,javanica
Breeding for nematode and virus resistance in potato via anther culture,"Wenzel, G.; Uhrig, H.",1981,Theoretical and Applied Genetics,108,globodera,pallida
Root-knot nematode (Meloidogyne spp.) Me resistance genes in pepper (Capsicum annuum L.) are clustered on the P9 chromosome,"Djian-Caporalino, C.; Fazari, A.; Arguel, M. J.; Vernie, T.; VandeCasteele, C.; Faure, I.; Brunoud, G.; Pijarowski, L.; Palloix, A.; Lefebvre, V.; Abad, P.",2006,Theoretical and Applied Genetics,107,meloidogyne,javanica
Nematode suppression with brassicaceous amendments: application based upon glucosinolate profiles,"Zasada, I.A; Ferris, H",2004,Soil Biology and Biochemistry,107,meloidogyne,javanica
A chorismate mutase from the soybean cyst nematode Heterodera glycines shows polymorphisms that correlate with virulence.,"Bekal, Sadia; Niblack, Terry L; Lambert, Kris N",2003,Molecular Plant-Microbe Interactions,107,heterodera,glycines
"Isolation and characterization of PRA1, a trypsin-like protease from the biocontrol agent Trichoderma harzianum CECT 2413 displaying nematicidal activity","Suarez, Belen; Rey, Manuel; Castillo, Pablo; Monte, Enrique; Llobell, Antonio",2004,Applied Microbiology and Biotechnology,107,meloidogyne,incognita
Nematode suppression with brassicaceous amendments: application based upon glucosinolate profiles,"Zasada, I.A; Ferris, H",2004,Soil Biology and Biochemistry,107,meloidogyne,javanica
"QTL, additive and epistatic effects for SCN resistance in PI 437654","Wu, Xiaolei; Blake, Sean; Sleper, David A.; Shannon, J. Grover; Cregan, Perry; Nguyen, Henry T.",2009,Theoretical and Applied Genetics,106,heterodera,glycines
"Molecular and biochemical characterization of an endo-?-1,3-glucanase from the pinewood nematode Bursaphelenchus xylophilus acquired by horizontal gene transfer from bacteria","KIKUCHI, Taisei; SHIBUYA, Hajime; JONES, John T.",2005,Biochemical Journal,106,bursaphelenchus,xylophilus
Low amounts of root herbivory positively influence the rhizosphere microbial community in a temperate grassland soil,"Denton, Crystal S; Bardgett, Richard D; Cook, Roger; Hobbs, Philip J",1998,Soil Biology and Biochemistry,106,heterodera,trifolii
"Molecular and biochemical characterization of an endo-ÃÂ²-1,3-glucanase from the pinewood nematode Bursaphelenchus xylophilus acquired by horizontal gene transfer from bacteria","KIKUCHI, Taisei; SHIBUYA, Hajime; JONES, John T.",2005,Biochemical Journal,106,bursaphelenchus,xylophilus
"QTL, additive and epistatic effects for SCN resistance in PI 437654","Wu, Xiaolei; Blake, Sean; Sleper, David A.; Shannon, J. Grover; Cregan, Perry; Nguyen, Henry T.",2009,Theoretical and Applied Genetics,106,heterodera,glycines
Low amounts of root herbivory positively influence the rhizosphere microbial community in a temperate grassland soil,"Denton, Crystal S; Bardgett, Richard D; Cook, Roger; Hobbs, Philip J",1998,Soil Biology and Biochemistry,106,heterodera,trifolii
A parasitic nematode releases cytokinin that controls cell division and orchestrates feeding site formation in host plants,"Siddique, Shahid; Radakovic, Zoran S.; De La Torre, Carola M.; Chronis, Demosthenis; NovÃÂ¡k, OndÃÂej; Ramireddy, Eswarayya; Holbein, Julia; Matera, Christiane; HÃÂ¼tten, Marion; Gutbrod, Philipp; Anjam, Muhammad Shahzad; Rozanska, Elzbieta; Habash, Samer; Elashry, Abdelnaser; Sobczak, Miroslaw; Kakimoto, Tatsuo; Strnad, Miroslav; SchmÃÂ¼lling, Thomas; Mitchum, Melissa G.; Grundler, Florian M. W.",2015,Proceedings of the National Academy of Sciences of the United States of America,105,heterodera,schachtii
Endophytic Colonization of Plants by the Biocontrol Agent Rhizobium etli G12 in Relation to Meloidogyne incognita Infection.,"Hallmann, J; Quadt-Hallmann, A; Miller, W G; Sikora, R A; Lindow, S E",2001,Phytopathology,105,meloidogyne,incognita
Identification of RFLP markers closely linked to the H1 gene conferring resistance to Globodera rostochiensis in potato,"Gebhardt, C.; Mugniery, D.; Ritter, E.; Salamini, F.; Bonnel, E.",1993,Theoretical and Applied Genetics,104,globodera,rostochiensis
"Biology and epidemics of Candidatus Liberibacter species, psyllidÃ¢ÂÂtransmitted plantÃ¢ÂÂpathogenic bacteria","Haapalainen, M.",2014,Annals of Applied Biology,104,longidorus,africanus
Genetic architecture of cyst nematode resistance revealed by genome-wide association study in soybean,"Vuong, T. D.; Sonah, H.; Meinhardt, C. G.; Deshmukh, R.; Kadam, S.; Nelson, R. L.; Shannon, J. G.; Nguyen, H. T.",2015,BMC Genomics,104,heterodera,glycines
Restriction Fragment Length Polymorphism Separates Species of the Xiphinema americanum Group.,"Vrain, T C",1993,Journal of Nematology,104,xiphinema,americanum
Carbohydrate-active enzymes from the zygomycete fungus Rhizopus oryzae: a highly specialized approach to carbohydrate degradation depicted at genome level,"Battaglia, Evy; Benoit, Isabelle; van den Brink, Joost; Wiebenga, Ad; Coutinho, Pedro M; Henrissat, Bernard; de Vries, Ronald P",2011,BMC Genomics,104,radopholus,oryzae
"In planta localization of a beta-1,4-endoglucanase secreted by Heterodera glycines.","Wang, X; Meyers, D; Yan, Y; Baum, T; Smant, G; Hussey, R; Davis, E",1999,Molecular Plant-Microbe Interactions,103,heterodera,glycines
Local and systemic mycorrhiza-induced protection against the ectoparasitic nematode Xiphinema index involves priming of defence gene responses in grapevine,"Hao, Zhipeng; Fayolle, LÃÂ©on; van Tuinen, Diederik; Chatagnier, Odile; Li, Xiaolin; Gianinazzi, Silvio; Gianinazzi-Pearson, Vivienne",2012,Journal of Experimental Botany,103,xiphinema,index
Transcriptome analysis of rootÃ¢ÂÂknot nematode (Meloidogyne incognita)Ã¢ÂÂinfected tomato (Solanum lycopersicum) roots reveals complex gene expression profiles and metabolic networks of both host and nematode during susceptible and resistance responses,"Shukla, Neha; Yadav, Rachita; Kaur, Pritam; Rasmussen, Simon; Goel, Shailendra; Agarwal, Manu; Jagannath, Arun; Gupta, Ramneek; Kumar, Amar",2017,Molecular Plant Pathology,103,meloidogyne,incognita
Root-lesion nematodes (Pratylenchus thornei and P. neglectus): a review of recent progress in managing a significant pest of grain crops in northern Australia,"Thompson, J. P.; Owen, K. J.; Stirling, G. R.; Bell, M. J.",2008,Australasian Plant Pathology,103,pratylenchus,neglectus
Below?ground herbivory promotes soil nutrient transfer and root growth in grassland,Bardgett; Denton; Cook,1999,Ecology Letters,103,heterodera,trifolii
