Year,Theme,Normalized_Count
1995,Diagnostics,1.15
1996,Molecular/Genetics,0.7837837837837838
1996,Plant Pathology,0.16216216216216217
1996,Management/Control,0.05405405405405406
1996,Ecology/Biology,1.1891891891891893
1996,Crop Impact,1.1891891891891893
1996,Diagnostics,3.6216216216216215
1997,Molecular/Genetics,2.2698412698412698
1997,Plant Pathology,1.0793650793650793
1997,Management/Control,0.031746031746031744
1997,Ecology/Biology,0.5396825396825397
1997,Crop Impact,0.5714285714285714
1997,Diagnostics,3.746031746031746
1998,Molecular/Genetics,1.8571428571428572
1998,Plant Pathology,1.3571428571428572
1998,Management/Control,0.5714285714285714
1998,Ecology/Biology,0.5357142857142857
1998,Crop Impact,1.3928571428571428
1998,Diagnostics,1.3214285714285714
1999,Molecular/Genetics,1.7567567567567568
1999,Plant Pathology,2.027027027027027
1999,Management/Control,1.0810810810810811
1999,Ecology/Biology,2.135135135135135
1999,Crop Impact,1.3243243243243243
1999,Diagnostics,2.675675675675676
2000,Molecular/Genetics,3.2794117647058822
2000,Plant Pathology,1.2058823529411764
2000,Management/Control,0.22058823529411764
2000,Ecology/Biology,2.4705882352941178
2000,Crop Impact,1.2941176470588236
2000,Diagnostics,3.9411764705882355
2001,Molecular/Genetics,2.7088607594936707
2001,Plant Pathology,1.7215189873417722
2001,Management/Control,0.10126582278481013
2001,Ecology/Biology,1.3544303797468353
2001,Crop Impact,1.4683544303797469
2001,Diagnostics,2.5569620253164556
2002,Molecular/Genetics,3.3389830508474576
2002,Plant Pathology,0.6779661016949152
2002,Management/Control,0.864406779661017
2002,Ecology/Biology,1.5423728813559323
2002,Crop Impact,0.9152542372881356
2002,Diagnostics,2.559322033898305
2003,Molecular/Genetics,3.4
2003,Plant Pathology,0.5
2003,Management/Control,0.3
2003,Ecology/Biology,1.3333333333333333
2003,Crop Impact,0.5666666666666667
2003,Diagnostics,2.1666666666666665
2004,Molecular/Genetics,7.133333333333334
2004,Plant Pathology,1.711111111111111
2004,Management/Control,0.9777777777777777
2004,Ecology/Biology,0.7333333333333333
2004,Crop Impact,1.0888888888888888
2004,Diagnostics,4.022222222222222
2005,Molecular/Genetics,3.2162162162162162
2005,Plant Pathology,0.7297297297297297
2005,Management/Control,0.5945945945945946
2005,Ecology/Biology,1.5405405405405406
2005,Crop Impact,0.2972972972972973
2005,Diagnostics,2.972972972972973
2006,Molecular/Genetics,2.819672131147541
2006,Plant Pathology,0.4262295081967213
2006,Management/Control,1.0819672131147542
2006,Ecology/Biology,1.4426229508196722
2006,Crop Impact,0.29508196721311475
2006,Diagnostics,2.3278688524590163
2007,Molecular/Genetics,2.022727272727273
2007,Plant Pathology,0.3409090909090909
2007,Management/Control,0.9318181818181818
2007,Ecology/Biology,1.5454545454545454
2007,Crop Impact,1.9090909090909092
2007,Diagnostics,2.522727272727273
2008,Molecular/Genetics,9.258823529411766
2008,Plant Pathology,1.223529411764706
2008,Management/Control,0.5176470588235295
2008,Ecology/Biology,0.7529411764705882
2008,Crop Impact,1.0235294117647058
2008,Diagnostics,4.117647058823529
2009,Molecular/Genetics,5.595744680851064
2009,Plant Pathology,1.1063829787234043
2009,Management/Control,0.6170212765957447
2009,Ecology/Biology,0.9787234042553191
2009,Crop Impact,1.4680851063829787
2009,Diagnostics,3.4893617021276597
2010,Molecular/Genetics,4.779411764705882
2010,Plant Pathology,1.125
2010,Management/Control,0.4852941176470588
2010,Ecology/Biology,1.2205882352941178
2010,Crop Impact,0.7573529411764706
2010,Diagnostics,3.1029411764705883
2011,Molecular/Genetics,4.801242236024844
2011,Plant Pathology,1.1614906832298137
2011,Management/Control,0.8136645962732919
2011,Ecology/Biology,0.9130434782608695
2011,Crop Impact,0.8012422360248447
2011,Diagnostics,3.906832298136646
2012,Molecular/Genetics,4.985915492957746
2012,Plant Pathology,1.4929577464788732
2012,Management/Control,0.6971830985915493
2012,Ecology/Biology,0.647887323943662
2012,Crop Impact,0.9225352112676056
2012,Diagnostics,4.077464788732394
2013,Molecular/Genetics,5.935672514619883
2013,Plant Pathology,1.0292397660818713
2013,Management/Control,0.5614035087719298
2013,Ecology/Biology,1.0116959064327486
2013,Crop Impact,1.3099415204678362
2013,Diagnostics,4.140350877192983
2014,Molecular/Genetics,4.376237623762377
2014,Plant Pathology,1.4059405940594059
2014,Management/Control,1.0
2014,Ecology/Biology,0.8415841584158416
2014,Crop Impact,1.1287128712871286
2014,Diagnostics,3.257425742574257
2015,Molecular/Genetics,5.72289156626506
2015,Plant Pathology,1.6265060240963856
2015,Management/Control,0.3614457831325301
2015,Ecology/Biology,1.072289156626506
2015,Crop Impact,0.46987951807228917
2015,Diagnostics,3.5783132530120483
2016,Molecular/Genetics,6.815533980582524
2016,Plant Pathology,0.7766990291262136
2016,Management/Control,0.30097087378640774
2016,Ecology/Biology,1.6504854368932038
2016,Crop Impact,0.5631067961165048
2016,Diagnostics,5.572815533980583
2017,Molecular/Genetics,8.936936936936936
2017,Plant Pathology,0.08108108108108109
2017,Management/Control,0.08108108108108109
2017,Ecology/Biology,1.4864864864864864
2017,Crop Impact,0.4774774774774775
2017,Diagnostics,4.747747747747748
2018,Molecular/Genetics,4.3052631578947365
2018,Plant Pathology,0.5052631578947369
2018,Management/Control,0.28421052631578947
2018,Ecology/Biology,1.3263157894736841
2018,Crop Impact,0.8421052631578947
2018,Diagnostics,4.747368421052632
2019,Molecular/Genetics,7.146067415730337
2019,Plant Pathology,0.651685393258427
2019,Management/Control,0.6853932584269663
2019,Ecology/Biology,1.6629213483146068
2019,Crop Impact,0.8202247191011236
2019,Diagnostics,4.921348314606742
2020,Molecular/Genetics,3.8051948051948052
2020,Plant Pathology,1.844155844155844
2020,Management/Control,1.9285714285714286
2020,Ecology/Biology,1.7987012987012987
2020,Crop Impact,1.62987012987013
2020,Diagnostics,2.2175324675324677
2021,Molecular/Genetics,4.368
2021,Plant Pathology,1.08
2021,Management/Control,1.08
2021,Ecology/Biology,1.664
2021,Crop Impact,1.144
2021,Diagnostics,3.728
2022,Molecular/Genetics,2.6792452830188678
2022,Plant Pathology,0.330188679245283
2022,Management/Control,0.9150943396226415
2022,Ecology/Biology,1.3018867924528301
2022,Crop Impact,1.2924528301886793
2022,Diagnostics,2.0377358490566038
2023,Molecular/Genetics,4.833333333333333
2023,Plant Pathology,0.125
2023,Management/Control,0.75
2023,Ecology/Biology,0.3333333333333333
2023,Crop Impact,0.625
2023,Diagnostics,4.125
