Genus,Species,Host,Year
Meloidogyne,Incognita,Soybean,2012
Paratrichodorus,renifer,Blueberry,2020
Hoplolaimus,indicus,Rice,1987
Meloidogyne,moensi,Coffee,2019
Rotylenchus,vitis,Sunflower,2013
Xiphinema,celtiense,Olive,2016
Meloidogyne,incognita,Tomato,2006
Globodera,rostochiensis,Tomato,2012
Globodera,rostochiensis,Solanum pimpinellifolium,2012
Radopholus,similis,Banana,2020
Scutellonema,bradys,Yam,2006
Aphelenchoides,tabarestanensis,Pine,2019
Aphelenchoides,tabarestanensis,Pinus brutia,2019
Meloidogyne,incognita,Tomato,2015
Heterodera,arenaria,Grass,2002
Radopholus,duriophilus,Carrot,2004
Radopholus,duriophilus,Coffea arabica,2004
Meloidogyne,exigua,Coffea arabica,2010
Meloidogyne,exigua,Coffee,2010
Pratylenchus,delattrei,Apple,2011
Heterodera,australis,Wheat,2011
Helicotylenchus,egyptiensis,Grass,1976
Anguina,parietinus,Wheat,2002
Anguina,parietinus,Barley,2002
Anguina,parietinus,Corn,2002
Anguina,parietinus,Tomato,2002
Anguina,parietinus,Eggplant,2002
Anguina,parietinus,Potato,2002
Anguina,parietinus,Beet,2002
Trichodorus,californicus,Pear,2021
Ditylenchus,dipsaci,Carrot,2021
Ditylenchus,dipsaci,Sugar Beet,2021
Ditylenchus,dipsaci,Beet,2021
Heterodera,carotae,Carrot,2021
Heterodera,carotae,Potato,2021
Heterodera,carotae,Beet,2021
Pratylenchus,penetrans,Apple,2001
Pratylenchus,penetrans,Brassica napus,2001
Rotylenchus,robustus,Blueberry,2020
Tylenchorhynchus,martini,Soybean,1986
Hirschmanniella,miticausa,Taro,2001
Meloidogyne,javanica,Tomato,2020
Xiphinema,poasense,Eucalyptus,2018
Hoplolaimus,indicus,Tomato,2006
Tylenchulus,semipenetrans,Vitis species,2012
Tylenchulus,semipenetrans,Grape,2012
